category_key,parent_category_key,name.de_DE,name.en_US,meta_title.de_DE,meta_title.en_US,meta_description.de_DE,meta_description.en_US,meta_keywords.de_DE,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,category_image_name.de_DE
demoshop,,Demoshop,Demoshop,Demoshop,Demoshop,"Deutsche Version des Demoshop","English version of Demoshop","Deutsche Version des Demoshop","English version of Demoshop",1,1,1,0,1,1,,"Catalog (default)",,
beauty_and_healthcare,demoshop,"Beauty & Healthcare","Beauty & Healthcare","Beauty & Healthcare","Beauty & Healthcare","Beauty & Healthcare","Beauty & Healthcare","Beauty & Healthcare","Beauty & Healthcare",1,1,1,1,0,1,90,"Catalog (default)",,
beauty,beauty_and_healthcare,Beauty,Beauty,Beauty,Beauty,Beauty,Beauty,Beauty,Beauty,1,1,1,1,0,1,90,"Catalog (default)",,
make_up,beauty,Make-Up,Make-Up,Make-Up,Make-Up,Make-Up,Make-Up,Make-Up,Make-Up,1,1,1,1,0,1,90,"Catalog (default)",,
make_up_accessories,make_up,"Make-Up Accessories","Make-Up Accessories","Make-Up Accessories","Make-Up Accessories","Make-Up Accessories","Make-Up Accessories","Make-Up Accessories","Make-Up Accessories",1,1,1,1,0,1,90,"Catalog (default)",,
brush_cleaner_and_make_up_storage,make_up_accessories,"Brush Cleaner & Make-Up Storage","Brush Cleaner & Make-Up Storage","Brush Cleaner & Make-Up Storage","Brush Cleaner & Make-Up Storage","Brush Cleaner & Make-Up Storage","Brush Cleaner & Make-Up Storage","Brush Cleaner & Make-Up Storage","Brush Cleaner & Make-Up Storage",1,1,1,1,0,1,90,"Catalog (default)",,
brushes_puffs_and_make_up_sponges,make_up_accessories,"Brushes, Puffs & Make-Up Sponges","Brushes, Puffs & Make-Up Sponges","Brushes, Puffs & Make-Up Sponges","Brushes, Puffs & Make-Up Sponges","Brushes, Puffs & Make-Up Sponges","Brushes, Puffs & Make-Up Sponges","Brushes, Puffs & Make-Up Sponges","Brushes, Puffs & Make-Up Sponges",1,1,1,1,0,1,90,"Catalog (default)",,
compact_mirrors,make_up_accessories,"Compact Mirrors","Compact Mirrors","Compact Mirrors","Compact Mirrors","Compact Mirrors","Compact Mirrors","Compact Mirrors","Compact Mirrors",1,1,1,1,0,1,90,"Catalog (default)",,
cotton_pads_and_balls,make_up_accessories,"Cotton Pads & Balls","Cotton Pads & Balls","Cotton Pads & Balls","Cotton Pads & Balls","Cotton Pads & Balls","Cotton Pads & Balls","Cotton Pads & Balls","Cotton Pads & Balls",1,1,1,1,0,1,90,"Catalog (default)",,
cotton_swabs,make_up_accessories,"Cotton Swabs","Cotton Swabs","Cotton Swabs","Cotton Swabs","Cotton Swabs","Cotton Swabs","Cotton Swabs","Cotton Swabs",1,1,1,1,0,1,90,"Catalog (default)",,
