block_key,store_name
blck-1,CA
blck-2,CA
blck-3,CA
blck-4,CA
blck-5,CA
blck-6,CA
blck-7,CA
blck-8,CA
blck-nav-desktop,CA
blck-nav-mobile,CA
blck-nav-footer,CA
cms-block-email--customer-registration--html,CA
cms-block-email--customer-registration--text,CA
cms-block-email--customer-registration_token--html,CA
cms-block-email--customer-registration_token--text,CA
cms-block-email--customer-restore-password--html,CA
cms-block-email--customer-restore-password--text,CA
cms-block-email--customer-restored-password-confirmation--html,CA
cms-block-email--customer-restored-password-confirmation--text,CA
cms-block-email--restore-password--html,CA
cms-block-email--restore-password--text,CA
cms-block-email--availability-notification-subscription--html,CA
cms-block-email--availability-notification-subscription--text,CA
cms-block-email--availability-notification-unsubscribed--html,CA
cms-block-email--availability-notification-unsubscribed--text,CA
cms-block-email--availability-notification--html,CA
cms-block-email--availability-notification--text,CA
cms-block-email--gift-card-delivery--html,CA
cms-block-email--gift-card-delivery--text,CA
cms-block-email--gift-card-usage--html,CA
cms-block-email--gift-card-usage--text,CA
cms-block-email--newsletter-subscribed--html,CA
cms-block-email--newsletter-subscribed--text,CA
cms-block-email--newsletter-unsubscribed--html,CA
cms-block-email--newsletter-unsubscribed--text,CA
cms-block-email--order-confirmation--html,CA
cms-block-email--order-in-processing--text,CA
cms-block-email--order-in-processing--html,CA
cms-block-email--order-confirmation--text,CA
cms-block-email--order-shipped--html,CA
cms-block-email--order-shipped--text,CA
cms-block-email--shipping-confirmation--html,CA
cms-block-email--shipping-confirmation--text,CA
blck-1,BR
blck-2,BR
blck-3,BR
blck-4,BR
blck-5,BR
blck-6,BR
blck-7,BR
blck-8,BR
blck-nav-desktop,BR
blck-nav-mobile,BR
blck-nav-footer,BR
cms-block-email--customer-registration--html,BR
cms-block-email--customer-registration--text,BR
cms-block-email--customer-registration_token--html,BR
cms-block-email--customer-registration_token--text,BR
cms-block-email--customer-restore-password--html,BR
cms-block-email--customer-restore-password--text,BR
cms-block-email--customer-restored-password-confirmation--html,BR
cms-block-email--customer-restored-password-confirmation--text,BR
cms-block-email--restore-password--html,BR
cms-block-email--restore-password--text,BR
cms-block-email--availability-notification-subscription--html,BR
cms-block-email--availability-notification-subscription--text,BR
cms-block-email--availability-notification-unsubscribed--html,BR
cms-block-email--availability-notification-unsubscribed--text,BR
