payment_method_key,store
dummyPaymentInvoice,CA
dummyPaymentCreditCard,CA
adyenCreditCard,CA
dummyPrepayment,CA
BenefitVouchers,CA
EVoucher,CA
ShoppingPoints,CA
EVoucherMarketer,CA
Cashback,CA
dummyPaymentInvoice,BR
dummyPaymentCreditCard,BR
adyenCreditCard,BR
dummyPrepayment,BR
BenefitVouchers,BR
EVoucher,BR
ShoppingPoints,BR
EVoucherMarketer,BR
Cashback,BR
dummyPaymentInvoice,CO
dummyPaymentCreditCard,CO
adyenCreditCard,CO
dummyPrepayment,CO
BenefitVouchers,CO
EVoucher,CO
ShoppingPoints,CO
EVoucherMarketer,CO
Cashback,CO
dummyPaymentInvoice,MX
dummyPaymentCreditCard,MX
adyenCreditCard,MX
dummyPrepayment,MX
BenefitVouchers,MX
EVoucher,MX
ShoppingPoints,MX
EVoucherMarketer,MX
Cashback,MX
