block_key,store_name
blck-1,MY
blck-2,MY
blck-3,MY
blck-4,MY
blck-5,MY
blck-6,MY
blck-7,MY
blck-8,MY
blck-nav-desktop,MY
blck-nav-mobile,MY
blck-nav-footer,MY
cms-block-email--customer-registration--html,MY
cms-block-email--customer-registration--text,MY
cms-block-email--customer-registration_token--html,MY
cms-block-email--customer-registration_token--text,MY
cms-block-email--customer-restore-password--html,MY
cms-block-email--customer-restore-password--text,MY
cms-block-email--customer-restored-password-confirmation--html,MY
cms-block-email--customer-restored-password-confirmation--text,MY
cms-block-email--restore-password--html,MY
cms-block-email--restore-password--text,MY
cms-block-email--availability-notification-subscription--html,MY
cms-block-email--availability-notification-subscription--text,MY
cms-block-email--availability-notification-unsubscribed--html,MY
cms-block-email--availability-notification-unsubscribed--text,MY
cms-block-email--availability-notification--html,MY
cms-block-email--availability-notification--text,MY
cms-block-email--gift-card-delivery--html,MY
cms-block-email--gift-card-delivery--text,MY
cms-block-email--gift-card-usage--html,MY
cms-block-email--gift-card-usage--text,MY
cms-block-email--newsletter-subscribed--html,MY
cms-block-email--newsletter-subscribed--text,MY
cms-block-email--newsletter-unsubscribed--html,MY
cms-block-email--newsletter-unsubscribed--text,MY
cms-block-email--order-confirmation--html,MY
cms-block-email--order-in-processing--text,MY
cms-block-email--order-in-processing--html,MY
cms-block-email--order-confirmation--text,MY
cms-block-email--order-shipped--html,MY
cms-block-email--order-shipped--text,MY
cms-block-email--shipping-confirmation--html,MY
cms-block-email--shipping-confirmation--text,MY
blck-1,HK
blck-2,HK
blck-3,HK
blck-4,HK
blck-5,HK
blck-6,HK
blck-7,HK
blck-8,HK
blck-nav-desktop,HK
blck-nav-mobile,HK
blck-nav-footer,HK
cms-block-email--customer-registration--html,HK
cms-block-email--customer-registration--text,HK
cms-block-email--customer-registration_token--html,HK
cms-block-email--customer-registration_token--text,HK
cms-block-email--customer-restore-password--html,HK
cms-block-email--customer-restore-password--text,HK
cms-block-email--customer-restored-password-confirmation--html,HK
cms-block-email--customer-restored-password-confirmation--text,HK
cms-block-email--restore-password--html,HK
cms-block-email--restore-password--text,HK
cms-block-email--availability-notification-subscription--html,HK
cms-block-email--availability-notification-subscription--text,HK
cms-block-email--availability-notification-unsubscribed--html,HK
cms-block-email--availability-notification-unsubscribed--text,HK
cms-block-email--availability-notification--html,HK
cms-block-email--availability-notification--text,HK
cms-block-email--gift-card-delivery--html,HK
cms-block-email--gift-card-delivery--text,HK
cms-block-email--gift-card-usage--html,HK
cms-block-email--gift-card-usage--text,HK
cms-block-email--newsletter-subscribed--html,HK
cms-block-email--newsletter-subscribed--text,HK
cms-block-email--newsletter-unsubscribed--html,HK
cms-block-email--newsletter-unsubscribed--text,HK
cms-block-email--order-confirmation--html,HK
cms-block-email--order-in-processing--text,HK
cms-block-email--order-in-processing--html,HK
