payment_method_key,store
dummyPaymentInvoice,MY
dummyPaymentCreditCard,MY
adyenCreditCard,MY
dummyPrepayment,MY
BenefitVouchers,MY
EVoucher,MY
ShoppingPoints,MY
EVoucherMarketer,MY
Cashback,MY
dummyPaymentInvoice,HK
dummyPaymentCreditCard,HK
adyenCreditCard,HK
dummyPrepayment,HK
BenefitVouchers,HK
EVoucher,HK
ShoppingPoints,HK
EVoucherMarketer,HK
Cashback,HK
dummyPaymentInvoice,AU
dummyPaymentCreditCard,AU
adyenCreditCard,AU
dummyPrepayment,AU
BenefitVouchers,AU
EVoucher,AU
ShoppingPoints,AU
EVoucherMarketer,AU
Cashback,AU
dummyPaymentInvoice,NZ
dummyPaymentCreditCard,NZ
adyenCreditCard,NZ
dummyPrepayment,NZ
BenefitVouchers,NZ
EVoucher,NZ
ShoppingPoints,NZ
EVoucherMarketer,NZ
Cashback,NZ
dummyPaymentInvoice,PH
dummyPaymentCreditCard,PH
adyenCreditCard,PH
dummyPrepayment,PH
BenefitVouchers,PH
EVoucher,PH
ShoppingPoints,PH
EVoucherMarketer,PH
Cashback,PH
dummyPaymentInvoice,TH
dummyPaymentCreditCard,TH
adyenCreditCard,TH
dummyPrepayment,TH
BenefitVouchers,TH
EVoucher,TH
ShoppingPoints,TH
EVoucherMarketer,TH
Cashback,TH
dummyPaymentInvoice,MO
dummyPaymentCreditCard,MO
adyenCreditCard,MO
dummyPrepayment,MO
BenefitVouchers,MO
EVoucher,MO
ShoppingPoints,MO
EVoucherMarketer,MO
Cashback,MO
