block_key,store_name
blck-1,BG
blck-2,BG
blck-3,BG
blck-4,BG
blck-5,BG
blck-6,BG
blck-7,BG
blck-8,BG
blck-nav-desktop,BG
blck-nav-mobile,BG
blck-nav-footer,BG
cms-block-email--customer-registration--html,BG
cms-block-email--customer-registration--text,BG
cms-block-email--customer-registration_token--html,BG
cms-block-email--customer-registration_token--text,BG
cms-block-email--customer-restore-password--html,BG
cms-block-email--customer-restore-password--text,BG
cms-block-email--customer-restored-password-confirmation--html,BG
cms-block-email--customer-restored-password-confirmation--text,BG
cms-block-email--restore-password--html,BG
cms-block-email--restore-password--text,BG
cms-block-email--availability-notification-subscription--html,BG
cms-block-email--availability-notification-subscription--text,BG
cms-block-email--availability-notification-unsubscribed--html,BG
cms-block-email--availability-notification-unsubscribed--text,BG
cms-block-email--availability-notification--html,BG
cms-block-email--availability-notification--text,BG
cms-block-email--gift-card-delivery--html,BG
cms-block-email--gift-card-delivery--text,BG
cms-block-email--gift-card-usage--html,BG
cms-block-email--gift-card-usage--text,BG
cms-block-email--newsletter-subscribed--html,BG
cms-block-email--newsletter-subscribed--text,BG
cms-block-email--newsletter-unsubscribed--html,BG
cms-block-email--newsletter-unsubscribed--text,BG
cms-block-email--order-confirmation--html,BG
cms-block-email--order-in-processing--text,BG
cms-block-email--order-in-processing--html,BG
cms-block-email--order-confirmation--text,BG
cms-block-email--order-shipped--html,BG
cms-block-email--order-shipped--text,BG
cms-block-email--shipping-confirmation--html,BG
cms-block-email--shipping-confirmation--text,BG
blck-1,MK
blck-2,MK
blck-3,MK
blck-4,MK
blck-5,MK
blck-6,MK
blck-7,MK
blck-8,MK
blck-nav-desktop,MK
blck-nav-mobile,MK
blck-nav-footer,MK
cms-block-email--customer-registration--html,MK
cms-block-email--customer-registration--text,MK
cms-block-email--customer-registration_token--html,MK
cms-block-email--customer-registration_token--text,MK
cms-block-email--customer-restore-password--html,MK
cms-block-email--customer-restore-password--text,MK
cms-block-email--customer-restored-password-confirmation--html,MK
cms-block-email--customer-restored-password-confirmation--text,MK
cms-block-email--restore-password--html,MK
cms-block-email--restore-password--text,MK
cms-block-email--availability-notification-subscription--html,MK
cms-block-email--availability-notification-subscription--text,MK
cms-block-email--availability-notification-unsubscribed--html,MK
cms-block-email--availability-notification-unsubscribed--text,MK
cms-block-email--availability-notification--html,MK
cms-block-email--availability-notification--text,MK
cms-block-email--gift-card-delivery--html,MK
cms-block-email--gift-card-delivery--text,MK
cms-block-email--gift-card-usage--html,MK
cms-block-email--gift-card-usage--text,MK
cms-block-email--newsletter-subscribed--html,MK
cms-block-email--newsletter-subscribed--text,MK
cms-block-email--newsletter-unsubscribed--html,MK
cms-block-email--newsletter-unsubscribed--text,MK
cms-block-email--order-confirmation--html,MK
cms-block-email--order-in-processing--text,MK
cms-block-email--order-in-processing--html,MK
cms-block-email--order-confirmation--text,MK
cms-block-email--order-shipped--html,MK
cms-block-email--order-shipped--text,MK
cms-block-email--shipping-confirmation--html,MK
cms-block-email--shipping-confirmation--text,MK
blck-1,AL
blck-2,AL
blck-3,AL
blck-4,AL
blck-5,AL
blck-6,AL
blck-7,AL
blck-8,AL
blck-nav-desktop,AL
blck-nav-mobile,AL
blck-nav-footer,AL
cms-block-email--customer-registration--html,AL
cms-block-email--customer-registration--text,AL
cms-block-email--customer-registration_token--html,AL
cms-block-email--customer-registration_token--text,AL
cms-block-email--customer-restore-password--html,AL
cms-block-email--customer-restore-password--text,AL
cms-block-email--customer-restored-password-confirmation--html,AL
cms-block-email--customer-restored-password-confirmation--text,AL
cms-block-email--restore-password--html,AL
cms-block-email--restore-password--text,AL
cms-block-email--availability-notification-subscription--html,AL
cms-block-email--availability-notification-subscription--text,AL
cms-block-email--availability-notification-unsubscribed--html,AL
