navigation_key,node_key,parent_node_key,node_type,title.en_US,url.en_US,css_class.en_US,valid_from,valid_to,title.bg_BG,title.mk_MK,title.sq_AL,title.sr_RS,url.bg_BG,url.mk_MK,url.sq_AL,url.sr_RS,css_class.bg_BG,css_class.mk_MK,css_class.sq_AL,css_class.sr_RS
FOOTER_NAVIGATION_LEGAL,node_key_33,,cms_page,Imprint,/en/imprint,,,,Imprint,Imprint,Imprint,Imprint,/bg/impressum,/mk/impressum,/sq/impressum,/sr/impressum,,,,
FOOTER_NAVIGATION_LEGAL,node_key_35,,cms_page,Privacy Policy,/en/privacy,,,,Privacy Policy,Privacy Policy,Privacy Policy,Privacy Policy,/bg/datenschutz,/mk/datenschutz,/sq/datenschutz,/sr/datenschutz,,,,
FOOTER_NAVIGATION_LEGAL,node_key_94,,cms_page,Terms and Conditions,/en/gtc,,,,Terms and Conditions,Terms and Conditions,Terms and Conditions,Terms and Conditions,/bg/agb,/mk/agb,/sq/agb,/sr/agb,,,,
FOOTER_NAVIGATION_LEGAL,node_key_95,,cms_page,Terms of use,/en/terms-of-use,,,,Terms of use,Terms of use,Terms of use,Terms of use,/bg/nutzungsbedingungen,/mk/nutzungsbedingungen,/sq/nutzungsbedingungen,/sr/nutzungsbedingungen,,,,
FOOTER_NAVIGATION_INFO,node_key_96,,cms_page,About myWorld.com,/en/about-us,,,,About myWorld.com,About myWorld.com,About myWorld.com,About myWorld.com,/bg/uber-uns,/mk/uber-uns,/sq/uber-uns,/sr/uber-uns,,,,
PAYMENT_PROVIDERS,node_key_36,,label,Paypal,,paypal,,,Paypal,Paypal,Paypal,Paypal,,,,,paypal,paypal,paypal,paypal
PAYMENT_PROVIDERS,node_key_37,,label,Klarna,,klarna,,,Klarna,Klarna,Klarna,Klarna,,,,,klarna,klarna,klarna,klarna
SHIPMENT_PROVIDERS,node_key_38,,label,DHL,,dhl,,,DHL,DHL,DHL,DHL,,,,,dhl,dhl,dhl,dhl
SOCIAL_LINKS,node_key_39,,external_url,Twitter,https://twitter.com/myWorld_uk/,twitter,,,Twitter,Twitter,Twitter,Twitter,https://twitter.com/myWorld_de/,https://twitter.com/myWorld_de/,https://twitter.com/myWorld_de/,https://twitter.com/myWorld_de/,twitter,twitter,twitter,twitter
SOCIAL_LINKS,node_key_40,,external_url,Pinterest,https://www.pinterest.de/myworld_uk/,pinterest,,,Pinterest,Pinterest,Pinterest,Pinterest,https://www.pinterest.com/myworld_de/,https://www.pinterest.com/myworld_de/,https://www.pinterest.com/myworld_de/,https://www.pinterest.com/myworld_de/,pinterest,pinterest,pinterest,pinterest
SOCIAL_LINKS,node_key_41,,external_url,Instagram,https://www.instagram.com/myworld.com_uk/,instagram,,,Instagram,Instagram,Instagram,Instagram,https://www.instagram.com/myworld.com_deutschland/,https://www.instagram.com/myworld.com_deutschland/,https://www.instagram.com/myworld.com_deutschland/,https://www.instagram.com/myworld.com_deutschland/,instagram,instagram,instagram,instagram
SOCIAL_LINKS,node_key_42,,external_url,Facebook,https://www.facebook.com/myWorldcomUK/,facebook,,,Facebook,Facebook,Facebook,Facebook,https://www.facebook.com/myworldcom-deutschland-838309199874712/,https://www.facebook.com/myworldcom-deutschland-838309199874712/,https://www.facebook.com/myworldcom-deutschland-838309199874712/,https://www.facebook.com/myworldcom-deutschland-838309199874712/,facebook,facebook,facebook,facebook
PARTNERS,node_key_91,,label,Paypal,,paypal,,,Paypal,Paypal,Paypal,Paypal,,,,,paypal,paypal,paypal,paypal
PARTNERS,node_key_92,,label,Klarna,,klarna,,,Klarna,Klarna,Klarna,Klarna,,,,,klarna,klarna,klarna,klarna
PARTNERS,node_key_93,,label,DHL,,dhl,,,DHL,DHL,DHL,DHL,,,,,dhl,dhl,dhl,dhl
