payment_method_key,store
dummyPaymentInvoice,BG
dummyPaymentCreditCard,BG
adyenCreditCard,BG
dummyPrepayment,BG
BenefitVouchers,BG
EVoucher,BG
ShoppingPoints,BG
EVoucherMarketer,BG
Cashback,BG
dummyPaymentInvoice,MK
dummyPaymentCreditCard,MK
adyenCreditCard,MK
dummyPrepayment,MK
BenefitVouchers,MK
EVoucher,MK
ShoppingPoints,MK
EVoucherMarketer,MK
Cashback,MK
dummyPaymentInvoice,AL
dummyPaymentCreditCard,AL
adyenCreditCard,AL
dummyPrepayment,AL
BenefitVouchers,AL
EVoucher,AL
ShoppingPoints,AL
EVoucherMarketer,AL
Cashback,AL
dummyPaymentInvoice,XK
dummyPaymentCreditCard,XK
adyenCreditCard,XK
dummyPrepayment,XK
BenefitVouchers,XK
EVoucher,XK
ShoppingPoints,XK
EVoucherMarketer,XK
Cashback,XK
