category_key,parent_category_key,name.en_US,meta_title.en_US,meta_description.en_US,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,name.sl_SI,name.hr_HR,name.bs_BA,name.sr_RS,meta_title.sl_SI,meta_title.hr_HR,meta_title.bs_BA,meta_title.sr_RS,meta_description.sl_SI,meta_description.hr_HR,meta_description.bs_BA,meta_description.sr_RS,meta_keywords.sl_SI,meta_keywords.hr_HR,meta_keywords.bs_BA,meta_keywords.sr_RS,category_image_name.sl_SI,category_image_name.hr_HR,category_image_name.bs_BA,category_image_name.sr_RS,name.sr_ME,meta_title.sr_ME,meta_description.sr_ME,meta_keywords.sr_ME,category_image_name.sr_ME
shop,,Shop,Shop,English version of Shop,English version of Shop,1,0,1,0,1,1,900,Catalog (default),,Shop,Shop,Shop,Shop,Shop,Shop,Shop,Shop,Deutsche Version des Shop,Deutsche Version des Shop,Deutsche Version des Shop,Deutsche Version des Shop,Deutsche Version des Shop,Deutsche Version des Shop,Deutsche Version des Shop,Deutsche Version des Shop,,,,,Shop,Shop,English version of Shop,English version of Shop,
AF000001,shop,Affiliate,Affiliate,Affiliate,Affiliate,1,1,1,1,0,1,923,Catalog (default),,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,,,,,Affiliate,Affiliate,Affiliate,Affiliate,
MC_10001,shop,Automotive,Automotive,Automotive,Automotive,1,1,1,1,0,1,,Catalog (default),,Auto & Motorrad,Auto & Motorrad,Auto & Motorrad,Auto & Motorrad,Auto & Motorrad,Auto & Motorrad,Auto & Motorrad,Auto & Motorrad,Auto & Motorrad,Auto & Motorrad,Auto & Motorrad,Auto & Motorrad,Auto & Motorrad,Auto & Motorrad,Auto & Motorrad,Auto & Motorrad,,,,,Automotive,Automotive,Automotive,Automotive,
SUB_10001,MC_10001,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,1,1,1,1,0,1,,Catalog (default),,Anhänger & Trägersysteme,Anhänger & Trägersysteme,Anhänger & Trägersysteme,Anhänger & Trägersysteme,Anhänger & Trägersysteme,Anhänger & Trägersysteme,Anhänger & Trägersysteme,Anhänger & Trägersysteme,Anhänger & Trägersysteme,Anhänger & Trägersysteme,Anhänger & Trägersysteme,Anhänger & Trägersysteme,Anhänger & Trägersysteme,Anhänger & Trägersysteme,Anhänger & Trägersysteme,Anhänger & Trägersysteme,,,,,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,
SUB_10002,MC_10001,Car Tuning,Car Tuning,Car Tuning,Car Tuning,1,1,1,1,0,1,,Catalog (default),,Auto Tuning,Auto Tuning,Auto Tuning,Auto Tuning,Auto Tuning,Auto Tuning,Auto Tuning,Auto Tuning,Auto Tuning,Auto Tuning,Auto Tuning,Auto Tuning,Auto Tuning,Auto Tuning,Auto Tuning,Auto Tuning,,,,,Car Tuning,Car Tuning,Car Tuning,Car Tuning,
SUB_10003,MC_10001,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,1,1,1,1,0,1,,Catalog (default),,Auto-Werkstattausstattung,Auto-Werkstattausstattung,Auto-Werkstattausstattung,Auto-Werkstattausstattung,Auto-Werkstattausstattung,Auto-Werkstattausstattung,Auto-Werkstattausstattung,Auto-Werkstattausstattung,Auto-Werkstattausstattung,Auto-Werkstattausstattung,Auto-Werkstattausstattung,Auto-Werkstattausstattung,Auto-Werkstattausstattung,Auto-Werkstattausstattung,Auto-Werkstattausstattung,Auto-Werkstattausstattung,,,,,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,
SUB_10004,MC_10001,Car Care,Car Care,Car Care,Car Care,1,1,1,1,0,1,,Catalog (default),,Autopflege,Autopflege,Autopflege,Autopflege,Autopflege,Autopflege,Autopflege,Autopflege,Autopflege,Autopflege,Autopflege,Autopflege,Autopflege,Autopflege,Autopflege,Autopflege,,,,,Car Care,Car Care,Car Care,Car Care,
SUB_10005,MC_10001,Car Parts,Car Parts,Car Parts,Car Parts,1,1,1,1,0,1,,Catalog (default),,Autoteile,Autoteile,Autoteile,Autoteile,Autoteile,Autoteile,Autoteile,Autoteile,Autoteile,Autoteile,Autoteile,Autoteile,Autoteile,Autoteile,Autoteile,Autoteile,,,,,Car Parts,Car Parts,Car Parts,Car Parts,
SUB_10006,MC_10001,Car accessories,Car accessories,Car accessories,Car accessories,1,1,1,1,0,1,,Catalog (default),,Autozubehör,Autozubehör,Autozubehör,Autozubehör,Autozubehör,Autozubehör,Autozubehör,Autozubehör,Autozubehör,Autozubehör,Autozubehör,Autozubehör,Autozubehör,Autozubehör,Autozubehör,Autozubehör,,,,,Car accessories,Car accessories,Car accessories,Car accessories,
SUB_10007,MC_10001,Vehicles,Vehicles,Vehicles,Vehicles,1,1,1,1,0,1,,Catalog (default),,Fahrzeuge,Fahrzeuge,Fahrzeuge,Fahrzeuge,Fahrzeuge,Fahrzeuge,Fahrzeuge,Fahrzeuge,Fahrzeuge,Fahrzeuge,Fahrzeuge,Fahrzeuge,Fahrzeuge,Fahrzeuge,Fahrzeuge,Fahrzeuge,,,,,Vehicles,Vehicles,Vehicles,Vehicles,
