block_key,store_name
blck-1,SI
blck-2,SI
blck-3,SI
blck-4,SI
blck-5,SI
blck-6,SI
blck-7,SI
blck-8,SI
blck-nav-desktop,SI
blck-nav-mobile,SI
blck-nav-footer,SI
cms-block-email--customer-registration--html,SI
cms-block-email--customer-registration--text,SI
cms-block-email--customer-registration_token--html,SI
cms-block-email--customer-registration_token--text,SI
cms-block-email--customer-restore-password--html,SI
cms-block-email--customer-restore-password--text,SI
cms-block-email--customer-restored-password-confirmation--html,SI
cms-block-email--customer-restored-password-confirmation--text,SI
cms-block-email--restore-password--html,SI
cms-block-email--restore-password--text,SI
cms-block-email--availability-notification-subscription--html,SI
cms-block-email--availability-notification-subscription--text,SI
cms-block-email--availability-notification-unsubscribed--html,SI
cms-block-email--availability-notification-unsubscribed--text,SI
cms-block-email--availability-notification--html,SI
cms-block-email--availability-notification--text,SI
cms-block-email--gift-card-delivery--html,SI
cms-block-email--gift-card-delivery--text,SI
cms-block-email--gift-card-usage--html,SI
cms-block-email--gift-card-usage--text,SI
cms-block-email--newsletter-subscribed--html,SI
cms-block-email--newsletter-subscribed--text,SI
cms-block-email--newsletter-unsubscribed--html,SI
cms-block-email--newsletter-unsubscribed--text,SI
cms-block-email--order-confirmation--html,SI
cms-block-email--order-in-processing--text,SI
cms-block-email--order-in-processing--html,SI
cms-block-email--order-confirmation--text,SI
cms-block-email--order-shipped--html,SI
cms-block-email--order-shipped--text,SI
cms-block-email--shipping-confirmation--html,SI
cms-block-email--shipping-confirmation--text,SI
blck-1,HR
blck-2,HR
blck-3,HR
blck-4,HR
blck-5,HR
blck-6,HR
blck-7,HR
blck-8,HR
blck-nav-desktop,HR
blck-nav-mobile,HR
blck-nav-footer,HR
cms-block-email--customer-registration--html,HR
cms-block-email--customer-registration--text,HR
cms-block-email--customer-registration_token--html,HR
cms-block-email--customer-registration_token--text,HR
cms-block-email--customer-restore-password--html,HR
cms-block-email--customer-restore-password--text,HR
cms-block-email--customer-restored-password-confirmation--html,HR
cms-block-email--customer-restored-password-confirmation--text,HR
cms-block-email--restore-password--html,HR
cms-block-email--restore-password--text,HR
cms-block-email--availability-notification-subscription--html,HR
cms-block-email--availability-notification-subscription--text,HR
cms-block-email--availability-notification-unsubscribed--html,HR
cms-block-email--availability-notification-unsubscribed--text,HR
cms-block-email--availability-notification--html,HR
cms-block-email--availability-notification--text,HR
cms-block-email--gift-card-delivery--html,HR
cms-block-email--gift-card-delivery--text,HR
cms-block-email--gift-card-usage--html,HR
cms-block-email--gift-card-usage--text,HR
cms-block-email--newsletter-subscribed--html,HR
cms-block-email--newsletter-subscribed--text,HR
cms-block-email--newsletter-unsubscribed--html,HR
cms-block-email--newsletter-unsubscribed--text,HR
cms-block-email--order-confirmation--html,HR
cms-block-email--order-in-processing--text,HR
cms-block-email--order-in-processing--html,HR
cms-block-email--order-confirmation--text,HR
cms-block-email--order-shipped--html,HR
cms-block-email--order-shipped--text,HR
cms-block-email--shipping-confirmation--html,HR
cms-block-email--shipping-confirmation--text,HR
blck-1,BA
blck-2,BA
blck-3,BA
blck-4,BA
blck-5,BA
blck-6,BA
blck-7,BA
blck-8,BA
blck-nav-desktop,BA
blck-nav-mobile,BA
blck-nav-footer,BA
cms-block-email--customer-registration--html,BA
cms-block-email--customer-registration--text,BA
cms-block-email--customer-registration_token--html,BA
cms-block-email--customer-registration_token--text,BA
cms-block-email--customer-restore-password--html,BA
cms-block-email--customer-restore-password--text,BA
cms-block-email--customer-restored-password-confirmation--html,BA
cms-block-email--customer-restored-password-confirmation--text,BA
cms-block-email--restore-password--html,BA
cms-block-email--restore-password--text,BA
cms-block-email--availability-notification-subscription--html,BA
cms-block-email--availability-notification-subscription--text,BA
cms-block-email--availability-notification-unsubscribed--html,BA
cms-block-email--availability-notification-unsubscribed--text,BA
cms-block-email--availability-notification--html,BA
cms-block-email--availability-notification--text,BA
cms-block-email--gift-card-delivery--html,BA
cms-block-email--gift-card-delivery--text,BA
cms-block-email--gift-card-usage--html,BA
cms-block-email--gift-card-usage--text,BA
cms-block-email--newsletter-subscribed--html,BA
cms-block-email--newsletter-subscribed--text,BA
cms-block-email--newsletter-unsubscribed--html,BA
cms-block-email--newsletter-unsubscribed--text,BA
cms-block-email--order-confirmation--html,BA
cms-block-email--order-in-processing--text,BA
cms-block-email--order-in-processing--html,BA
cms-block-email--order-confirmation--text,BA
cms-block-email--order-shipped--html,BA
cms-block-email--order-shipped--text,BA
cms-block-email--shipping-confirmation--html,BA
cms-block-email--shipping-confirmation--text,BA
blck-1,RS
blck-2,RS
blck-3,RS
blck-4,RS
blck-5,RS
blck-6,RS
blck-7,RS
blck-8,RS
blck-nav-desktop,RS
blck-nav-mobile,RS
blck-nav-footer,RS
cms-block-email--customer-registration--html,RS
cms-block-email--customer-registration--text,RS
cms-block-email--customer-registration_token--html,RS
cms-block-email--customer-registration_token--text,RS
cms-block-email--customer-restore-password--html,RS
cms-block-email--customer-restore-password--text,RS
cms-block-email--customer-restored-password-confirmation--html,RS
cms-block-email--customer-restored-password-confirmation--text,RS
cms-block-email--restore-password--html,RS
cms-block-email--restore-password--text,RS
cms-block-email--availability-notification-subscription--html,RS
cms-block-email--availability-notification-subscription--text,RS
cms-block-email--availability-notification-unsubscribed--html,RS
cms-block-email--availability-notification-unsubscribed--text,RS
cms-block-email--availability-notification--html,RS
cms-block-email--availability-notification--text,RS
cms-block-email--gift-card-delivery--html,RS
cms-block-email--gift-card-delivery--text,RS
cms-block-email--gift-card-usage--html,RS
cms-block-email--gift-card-usage--text,RS
cms-block-email--newsletter-subscribed--html,RS
cms-block-email--newsletter-subscribed--text,RS
cms-block-email--newsletter-unsubscribed--html,RS
cms-block-email--newsletter-unsubscribed--text,RS
cms-block-email--order-confirmation--html,RS
cms-block-email--order-in-processing--text,RS
cms-block-email--order-in-processing--html,RS
cms-block-email--order-confirmation--text,RS
cms-block-email--order-shipped--html,RS
cms-block-email--order-shipped--text,RS
cms-block-email--shipping-confirmation--html,RS
cms-block-email--shipping-confirmation--text,RS
blck-1,ME
blck-2,ME
blck-3,ME
blck-4,ME
blck-5,ME
blck-6,ME
blck-7,ME
blck-8,ME
blck-nav-desktop,ME
blck-nav-mobile,ME
blck-nav-footer,ME
cms-block-email--customer-registration--html,ME
cms-block-email--customer-registration--text,ME
cms-block-email--customer-registration_token--html,ME
cms-block-email--customer-registration_token--text,ME
cms-block-email--customer-restore-password--html,ME
cms-block-email--customer-restore-password--text,ME
cms-block-email--customer-restored-password-confirmation--html,ME
cms-block-email--customer-restored-password-confirmation--text,ME
cms-block-email--restore-password--html,ME
cms-block-email--restore-password--text,ME
cms-block-email--availability-notification-subscription--html,ME
cms-block-email--availability-notification-subscription--text,ME
cms-block-email--availability-notification-unsubscribed--html,ME
cms-block-email--availability-notification-unsubscribed--text,ME
cms-block-email--availability-notification--html,ME
cms-block-email--availability-notification--text,ME
cms-block-email--gift-card-delivery--html,ME
cms-block-email--gift-card-delivery--text,ME
cms-block-email--gift-card-usage--html,ME
cms-block-email--gift-card-usage--text,ME
cms-block-email--newsletter-subscribed--html,ME
cms-block-email--newsletter-subscribed--text,ME
cms-block-email--newsletter-unsubscribed--html,ME
cms-block-email--newsletter-unsubscribed--text,ME
cms-block-email--order-confirmation--html,ME
cms-block-email--order-in-processing--text,ME
cms-block-email--order-in-processing--html,ME
cms-block-email--order-confirmation--text,ME
cms-block-email--order-shipped--html,ME
cms-block-email--order-shipped--text,ME
cms-block-email--shipping-confirmation--html,ME
cms-block-email--shipping-confirmation--text,ME
