block_key,store_name
blck-1,BY
blck-2,BY
blck-3,BY
blck-4,BY
blck-5,BY
blck-6,BY
blck-7,BY
blck-8,BY
blck-nav-desktop,BY
blck-nav-mobile,BY
blck-nav-footer,BY
cms-block-email--customer-registration--html,BY
cms-block-email--customer-registration--text,BY
cms-block-email--customer-registration_token--html,BY
cms-block-email--customer-registration_token--text,BY
cms-block-email--customer-restore-password--html,BY
cms-block-email--customer-restore-password--text,BY
cms-block-email--customer-restored-password-confirmation--html,BY
cms-block-email--customer-restored-password-confirmation--text,BY
cms-block-email--restore-password--html,BY
cms-block-email--restore-password--text,BY
cms-block-email--availability-notification-subscription--html,BY
cms-block-email--availability-notification-subscription--text,BY
cms-block-email--availability-notification-unsubscribed--html,BY
cms-block-email--availability-notification-unsubscribed--text,BY
cms-block-email--availability-notification--html,BY
cms-block-email--availability-notification--text,BY
cms-block-email--gift-card-delivery--html,BY
cms-block-email--gift-card-delivery--text,BY
cms-block-email--gift-card-usage--html,BY
cms-block-email--gift-card-usage--text,BY
cms-block-email--newsletter-subscribed--html,BY
cms-block-email--newsletter-subscribed--text,BY
cms-block-email--newsletter-unsubscribed--html,BY
cms-block-email--newsletter-unsubscribed--text,BY
cms-block-email--order-confirmation--html,BY
cms-block-email--order-in-processing--text,BY
cms-block-email--order-in-processing--html,BY
cms-block-email--order-confirmation--text,BY
cms-block-email--order-shipped--html,BY
cms-block-email--order-shipped--text,BY
cms-block-email--shipping-confirmation--html,BY
cms-block-email--shipping-confirmation--text,BY
blck-1,UA
blck-2,UA
blck-3,UA
blck-4,UA
blck-5,UA
blck-6,UA
blck-7,UA
blck-8,UA
blck-nav-desktop,UA
blck-nav-mobile,UA
blck-nav-footer,UA
cms-block-email--customer-registration--html,UA
cms-block-email--customer-registration--text,UA
cms-block-email--customer-registration_token--html,UA
cms-block-email--customer-registration_token--text,UA
cms-block-email--customer-restore-password--html,UA
cms-block-email--customer-restore-password--text,UA
cms-block-email--customer-restored-password-confirmation--html,UA
cms-block-email--customer-restored-password-confirmation--text,UA
cms-block-email--restore-password--html,UA
cms-block-email--restore-password--text,UA
cms-block-email--availability-notification-subscription--html,UA
cms-block-email--availability-notification-subscription--text,UA
cms-block-email--availability-notification-unsubscribed--html,UA
cms-block-email--availability-notification-unsubscribed--text,UA
cms-block-email--availability-notification--html,UA
cms-block-email--availability-notification--text,UA
cms-block-email--gift-card-delivery--html,UA
cms-block-email--gift-card-delivery--text,UA
cms-block-email--gift-card-usage--html,UA
cms-block-email--gift-card-usage--text,UA
cms-block-email--newsletter-subscribed--html,UA
cms-block-email--newsletter-subscribed--text,UA
cms-block-email--newsletter-unsubscribed--html,UA
cms-block-email--newsletter-unsubscribed--text,UA
cms-block-email--order-confirmation--html,UA
cms-block-email--order-in-processing--text,UA
cms-block-email--order-in-processing--html,UA
cms-block-email--order-confirmation--text,UA
cms-block-email--order-shipped--html,UA
cms-block-email--order-shipped--text,UA
cms-block-email--shipping-confirmation--html,UA
cms-block-email--shipping-confirmation--text,UA
blck-1,RU
blck-2,RU
blck-3,RU
blck-4,RU
blck-5,RU
blck-6,RU
blck-7,RU
blck-8,RU
blck-nav-desktop,RU
blck-nav-mobile,RU
blck-nav-footer,RU
cms-block-email--customer-registration--html,RU
cms-block-email--customer-registration--text,RU
cms-block-email--customer-registration_token--html,RU
cms-block-email--customer-registration_token--text,RU
cms-block-email--customer-restore-password--html,RU
cms-block-email--customer-restore-password--text,RU
cms-block-email--customer-restored-password-confirmation--html,RU
cms-block-email--customer-restored-password-confirmation--text,RU
cms-block-email--restore-password--html,RU
cms-block-email--restore-password--text,RU
cms-block-email--availability-notification-subscription--html,RU
cms-block-email--availability-notification-subscription--text,RU
cms-block-email--availability-notification-unsubscribed--html,RU
cms-block-email--availability-notification-unsubscribed--text,RU
cms-block-email--availability-notification--html,RU
cms-block-email--availability-notification--text,RU
cms-block-email--gift-card-delivery--html,RU
cms-block-email--gift-card-delivery--text,RU
cms-block-email--gift-card-usage--html,RU
cms-block-email--gift-card-usage--text,RU
cms-block-email--newsletter-subscribed--html,RU
cms-block-email--newsletter-subscribed--text,RU
cms-block-email--newsletter-unsubscribed--html,RU
cms-block-email--newsletter-unsubscribed--text,RU
cms-block-email--order-confirmation--html,RU
cms-block-email--order-in-processing--text,RU
cms-block-email--order-in-processing--html,RU
cms-block-email--order-confirmation--text,RU
cms-block-email--order-shipped--html,RU
cms-block-email--order-shipped--text,RU
cms-block-email--shipping-confirmation--html,RU
cms-block-email--shipping-confirmation--text,RU
