block_key,store_name
blck-1,EE
blck-2,EE
blck-3,EE
blck-4,EE
blck-5,EE
blck-6,EE
blck-7,EE
blck-8,EE
blck-nav-desktop,EE
blck-nav-mobile,EE
blck-nav-footer,EE
cms-block-email--customer-registration--html,EE
cms-block-email--customer-registration--text,EE
cms-block-email--customer-registration_token--html,EE
cms-block-email--customer-registration_token--text,EE
cms-block-email--customer-restore-password--html,EE
cms-block-email--customer-restore-password--text,EE
cms-block-email--customer-restored-password-confirmation--html,EE
cms-block-email--customer-restored-password-confirmation--text,EE
cms-block-email--restore-password--html,EE
cms-block-email--restore-password--text,EE
cms-block-email--availability-notification-subscription--html,EE
cms-block-email--availability-notification-subscription--text,EE
cms-block-email--availability-notification-unsubscribed--html,EE
cms-block-email--availability-notification-unsubscribed--text,EE
cms-block-email--availability-notification--html,EE
cms-block-email--availability-notification--text,EE
cms-block-email--gift-card-delivery--html,EE
cms-block-email--gift-card-delivery--text,EE
cms-block-email--gift-card-usage--html,EE
cms-block-email--gift-card-usage--text,EE
cms-block-email--newsletter-subscribed--html,EE
cms-block-email--newsletter-subscribed--text,EE
cms-block-email--newsletter-unsubscribed--html,EE
cms-block-email--newsletter-unsubscribed--text,EE
cms-block-email--order-confirmation--html,EE
cms-block-email--order-in-processing--text,EE
cms-block-email--order-in-processing--html,EE
cms-block-email--order-confirmation--text,EE
cms-block-email--order-shipped--html,EE
cms-block-email--order-shipped--text,EE
cms-block-email--shipping-confirmation--html,EE
cms-block-email--shipping-confirmation--text,EE
blck-1,LV
blck-2,LV
blck-3,LV
blck-4,LV
blck-5,LV
blck-6,LV
blck-7,LV
blck-8,LV
blck-nav-desktop,LV
blck-nav-mobile,LV
blck-nav-footer,LV
cms-block-email--customer-registration--html,LV
cms-block-email--customer-registration--text,LV
cms-block-email--customer-registration_token--html,LV
cms-block-email--customer-registration_token--text,LV
cms-block-email--customer-restore-password--html,LV
cms-block-email--customer-restore-password--text,LV
cms-block-email--customer-restored-password-confirmation--html,LV
cms-block-email--customer-restored-password-confirmation--text,LV
cms-block-email--restore-password--html,LV
cms-block-email--restore-password--text,LV
cms-block-email--availability-notification-subscription--html,LV
cms-block-email--availability-notification-subscription--text,LV
cms-block-email--availability-notification-unsubscribed--html,LV
cms-block-email--availability-notification-unsubscribed--text,LV
cms-block-email--availability-notification--html,LV
cms-block-email--availability-notification--text,LV
cms-block-email--gift-card-delivery--html,LV
cms-block-email--gift-card-delivery--text,LV
cms-block-email--gift-card-usage--html,LV
cms-block-email--gift-card-usage--text,LV
cms-block-email--newsletter-subscribed--html,LV
cms-block-email--newsletter-subscribed--text,LV
cms-block-email--newsletter-unsubscribed--html,LV
cms-block-email--newsletter-unsubscribed--text,LV
cms-block-email--order-confirmation--html,LV
cms-block-email--order-in-processing--text,LV
cms-block-email--order-in-processing--html,LV
cms-block-email--order-confirmation--text,LV
cms-block-email--order-shipped--html,LV
cms-block-email--order-shipped--text,LV
cms-block-email--shipping-confirmation--html,LV
cms-block-email--shipping-confirmation--text,LV
blck-1,LT
blck-2,LT
blck-3,LT
blck-4,LT
blck-5,LT
blck-6,LT
blck-7,LT
blck-8,LT
blck-nav-desktop,LT
blck-nav-mobile,LT
blck-nav-footer,LT
cms-block-email--customer-registration--html,LT
cms-block-email--customer-registration--text,LT
cms-block-email--customer-registration_token--html,LT
cms-block-email--customer-registration_token--text,LT
cms-block-email--customer-restore-password--html,LT
cms-block-email--customer-restore-password--text,LT
cms-block-email--customer-restored-password-confirmation--html,LT
cms-block-email--customer-restored-password-confirmation--text,LT
cms-block-email--restore-password--html,LT
cms-block-email--restore-password--text,LT
cms-block-email--availability-notification-subscription--html,LT
cms-block-email--availability-notification-subscription--text,LT
cms-block-email--availability-notification-unsubscribed--html,LT
cms-block-email--availability-notification-unsubscribed--text,LT
cms-block-email--availability-notification--html,LT
cms-block-email--availability-notification--text,LT
cms-block-email--gift-card-delivery--html,LT
cms-block-email--gift-card-delivery--text,LT
cms-block-email--gift-card-usage--html,LT
cms-block-email--gift-card-usage--text,LT
cms-block-email--newsletter-subscribed--html,LT
cms-block-email--newsletter-subscribed--text,LT
cms-block-email--newsletter-unsubscribed--html,LT
cms-block-email--newsletter-unsubscribed--text,LT
cms-block-email--order-confirmation--html,LT
cms-block-email--order-in-processing--text,LT
cms-block-email--order-in-processing--html,LT
cms-block-email--order-confirmation--text,LT
cms-block-email--order-shipped--html,LT
cms-block-email--order-shipped--text,LT
cms-block-email--shipping-confirmation--html,LT
cms-block-email--shipping-confirmation--text,LT
