block_key,store_name
blck-1,IT
blck-2,IT
blck-3,IT
blck-4,IT
blck-5,IT
blck-6,IT
blck-7,IT
blck-8,IT
blck-nav-desktop,IT
blck-nav-mobile,IT
blck-nav-footer,IT
cms-block-email--customer-registration--html,IT
cms-block-email--customer-registration--text,IT
cms-block-email--customer-registration_token--html,IT
cms-block-email--customer-registration_token--text,IT
cms-block-email--customer-restore-password--html,IT
cms-block-email--customer-restore-password--text,IT
cms-block-email--customer-restored-password-confirmation--html,IT
cms-block-email--customer-restored-password-confirmation--text,IT
cms-block-email--restore-password--html,IT
cms-block-email--restore-password--text,IT
cms-block-email--availability-notification-subscription--html,IT
cms-block-email--availability-notification-subscription--text,IT
cms-block-email--availability-notification-unsubscribed--html,IT
cms-block-email--availability-notification-unsubscribed--text,IT
cms-block-email--availability-notification--html,IT
cms-block-email--availability-notification--text,IT
cms-block-email--gift-card-delivery--html,IT
cms-block-email--gift-card-delivery--text,IT
cms-block-email--gift-card-usage--html,IT
cms-block-email--gift-card-usage--text,IT
cms-block-email--newsletter-subscribed--html,IT
cms-block-email--newsletter-subscribed--text,IT
cms-block-email--newsletter-unsubscribed--html,IT
cms-block-email--newsletter-unsubscribed--text,IT
cms-block-email--order-confirmation--html,IT
cms-block-email--order-in-processing--text,IT
cms-block-email--order-in-processing--html,IT
cms-block-email--order-confirmation--text,IT
cms-block-email--order-shipped--html,IT
cms-block-email--order-shipped--text,IT
cms-block-email--shipping-confirmation--html,IT
cms-block-email--shipping-confirmation--text,IT
blck-1,PT
blck-2,PT
blck-3,PT
blck-4,PT
blck-5,PT
blck-6,PT
blck-7,PT
blck-8,PT
blck-nav-desktop,PT
blck-nav-mobile,PT
blck-nav-footer,PT
cms-block-email--customer-registration--html,PT
cms-block-email--customer-registration--text,PT
cms-block-email--customer-registration_token--html,PT
cms-block-email--customer-registration_token--text,PT
cms-block-email--customer-restore-password--html,PT
cms-block-email--customer-restore-password--text,PT
cms-block-email--customer-restored-password-confirmation--html,PT
cms-block-email--customer-restored-password-confirmation--text,PT
cms-block-email--restore-password--html,PT
cms-block-email--restore-password--text,PT
cms-block-email--availability-notification-subscription--html,PT
cms-block-email--availability-notification-subscription--text,PT
cms-block-email--availability-notification-unsubscribed--html,PT
cms-block-email--availability-notification-unsubscribed--text,PT
cms-block-email--availability-notification--html,PT
cms-block-email--availability-notification--text,PT
cms-block-email--gift-card-delivery--html,PT
cms-block-email--gift-card-delivery--text,PT
cms-block-email--gift-card-usage--html,PT
cms-block-email--gift-card-usage--text,PT
cms-block-email--newsletter-subscribed--html,PT
cms-block-email--newsletter-subscribed--text,PT
cms-block-email--newsletter-unsubscribed--html,PT
cms-block-email--newsletter-unsubscribed--text,PT
cms-block-email--order-confirmation--html,PT
cms-block-email--order-in-processing--text,PT
cms-block-email--order-in-processing--html,PT
cms-block-email--order-confirmation--text,PT
cms-block-email--order-shipped--html,PT
cms-block-email--order-shipped--text,PT
cms-block-email--shipping-confirmation--html,PT
cms-block-email--shipping-confirmation--text,PT
