category_key,parent_category_key,name.en_US,name.de_DE,meta_title.de_DE,meta_title.en_US,meta_description.de_DE,meta_description.en_US,meta_keywords.de_DE,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,category_image_name.de_DE
demoshop,,Demoshop,Demoshop,Demoshop,Demoshop,Deutsche Version des Demoshop,English version of Demoshop,Deutsche Version des Demoshop,English version of Demoshop,1,0,1,0,1,1,900,Catalog (default),,
AF000001,demoshop,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,1,1,1,1,0,1,923,Catalog (default),,
MC_10001,demoshop,Automotive,Auto & Motorrad,Auto & Motorrad,Automotive,Auto & Motorrad,Automotive,Auto & Motorrad,Automotive,1,1,1,1,0,1,,Catalog (default),,
SUB_10001,MC_10001,Trailers & Carriers,Anhänger & Trägersysteme,Anhänger & Trägersysteme,Trailers & Carriers,Anhänger & Trägersysteme,Trailers & Carriers,Anhänger & Trägersysteme,Trailers & Carriers,1,1,1,1,0,1,,Catalog (default),,
SUB_10002,MC_10001,Car Tuning,Auto Tuning,Auto Tuning,Car Tuning,Auto Tuning,Car Tuning,Auto Tuning,Car Tuning,1,1,1,1,0,1,,Catalog (default),,
SUB_10003,MC_10001,Car Workshop Equipment,Auto-Werkstattausstattung,Auto-Werkstattausstattung,Car Workshop Equipment,Auto-Werkstattausstattung,Car Workshop Equipment,Auto-Werkstattausstattung,Car Workshop Equipment,1,1,1,1,0,1,,Catalog (default),,
SUB_10004,MC_10001,Car Care,Autopflege,Autopflege,Car Care,Autopflege,Car Care,Autopflege,Car Care,1,1,1,1,0,1,,Catalog (default),,
SUB_10005,MC_10001,Car Parts,Autoteile,Autoteile,Car Parts,Autoteile,Car Parts,Autoteile,Car Parts,1,1,1,1,0,1,,Catalog (default),,
SUB_10006,MC_10001,Car accessories,Autozubehör,Autozubehör,Car accessories,Autozubehör,Car accessories,Autozubehör,Car accessories,1,1,1,1,0,1,,Catalog (default),,
SUB_10007,MC_10001,Vehicles,Fahrzeuge,Fahrzeuge,Vehicles,Fahrzeuge,Vehicles,Fahrzeuge,Vehicles,1,1,1,1,0,1,,Catalog (default),,
SUB_10008,MC_10001,Motorcycle Supplies,Motorradbedarf,Motorradbedarf,Motorcycle Supplies,Motorradbedarf,Motorcycle Supplies,Motorradbedarf,Motorcycle Supplies,1,1,1,1,0,1,,Catalog (default),,
SUB_10009,MC_10001,Oils & Maintenance,Öle & Wartungsmittel,Öle & Wartungsmittel,Oils & Maintenance,Öle & Wartungsmittel,Oils & Maintenance,Öle & Wartungsmittel,Oils & Maintenance,1,1,1,1,0,1,,Catalog (default),,
SUB_10010,MC_10001,Wheels & Tires,Räder & Reifen,Räder & Reifen,Wheels & Tires,Räder & Reifen,Wheels & Tires,Räder & Reifen,Wheels & Tires,1,1,1,1,0,1,,Catalog (default),,
SUB_10010_01,SUB_10010,Rims,Felgen,Felgen,Rims,Felgen,Rims,Felgen,Rims,1,1,1,1,0,1,,Catalog (default),,
SUB_10010_02,SUB_10010,Summer tires,Sommerreifen,Sommerreifen,Summer tires,Sommerreifen,Summer tires,Sommerreifen,Summer tires,1,1,1,1,0,1,,Catalog (default),,
SUB_10010_03,SUB_10010,All Season tires,Ganzjahresreifen,Ganzjahresreifen,All Season tires,Ganzjahresreifen,All Season tires,Ganzjahresreifen,All Season tires,1,1,1,1,0,1,,Catalog (default),,
SUB_10010_04,SUB_10010,Winter tires,Winterreifen,Winterreifen,Winter tires,Winterreifen,Winter tires,Winterreifen,Winter tires,1,1,1,1,0,1,,Catalog (default),,
SUB_10010_05,SUB_10010,Offroad tires,Offroadreifen,Offroadreifen,Offroad tires,Offroadreifen,Offroad tires,Offroadreifen,Offroad tires,1,1,1,1,0,1,,Catalog (default),,
SUB_10010_06,SUB_10010,Truck Tires,LKW Reifen,LKW Reifen,Truck Tires,LKW Reifen,Truck Tires,LKW Reifen,Truck Tires,1,1,1,1,0,1,,Catalog (default),,
MC_20001,demoshop,Baby & Child,Baby & Kind,Baby & Kind,Baby & Child,Baby & Kind,Baby & Child,Baby & Kind,Baby & Child,1,1,1,1,0,1,,Catalog (default),,
