block_key,block_name,template_name,template_path,active,placeholder.title.de_DE,placeholder.title.en_US,placeholder.description.de_DE,placeholder.description.en_US,placeholder.link.de_DE,placeholder.link.en_US,placeholder.content.de_DE,placeholder.content.en_US,placeholder.title.pl_PL,placeholder.title.ro_RO,placeholder.title.sk_SK,placeholder.title.sl_SI,placeholder.description.pl_PL,placeholder.description.ro_RO,placeholder.description.sk_SK,placeholder.description.sl_SI,placeholder.link.pl_PL,placeholder.link.ro_RO,placeholder.link.sk_SK,placeholder.link.sl_SI,placeholder.content.pl_PL,placeholder.content.ro_RO,placeholder.content.sk_SK,placeholder.content.sl_SI,placeholder.title.it_IT,placeholder.title.pt_PT,placeholder.description.it_IT,placeholder.description.pt_PT,placeholder.link.it_IT,placeholder.link.pt_PT,placeholder.content.it_IT,placeholder.content.pt_PT
blck-1,Homepage Home & Garden,Title and Content with Link Block,@CmsBlock/template/title_content_and_link_block.twig,1,Heim & Garten,Home & Garden,,,"<a href=""/de/heim-&-garten"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/en/home-&-garden"" class=""link link--alternative"">Show all Products ></a>","{{ content_product_abstract_list('apl-home-and-garden', 'slider') }} ","{{ content_product_abstract_list('apl-home-and-garden', 'slider') }}",Heim & Garten,Heim & Garten,Heim & Garten,Heim & Garten,,,,,"<a href=""/de/heim-&-garten"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/de/heim-&-garten"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/de/heim-&-garten"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/de/heim-&-garten"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","{{ content_product_abstract_list('apl-home-and-garden', 'slider') }} ","{{ content_product_abstract_list('apl-home-and-garden', 'slider') }} ","{{ content_product_abstract_list('apl-home-and-garden', 'slider') }} ","{{ content_product_abstract_list('apl-home-and-garden', 'slider') }} ",Heim & Garten,Heim & Garten,,,"<a href=""/it/heim-&-garten"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/pt/heim-&-garten"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","{{ content_product_abstract_list('apl-home-and-garden', 'slider') }} ","{{ content_product_abstract_list('apl-home-and-garden', 'slider') }} "
blck-2,Homepage Top Banners Carousel,Jumbotron Block,@CmsBlock/template/jumbotron_slider_block.twig,1,,,,,,,"{{ content_banner('br-welcome', 'slider-without-link') }}","{{ content_banner('br-welcome', 'slider-without-link') }}",,,,,,,,,,,,,"{{ content_banner('br-welcome', 'slider-without-link') }}","{{ content_banner('br-welcome', 'slider-without-link') }}","{{ content_banner('br-welcome', 'slider-without-link') }}","{{ content_banner('br-welcome', 'slider-without-link') }}",,,,,,,"{{ content_banner('br-welcome', 'slider-without-link') }}","{{ content_banner('br-welcome', 'slider-without-link') }}"
blck-3,Homepage Electronics,Title and Content with Link Block,@CmsBlock/template/title_content_and_link_block.twig,1,Elektronik,Electronics,,,"<a href=""/de/elektronik"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/en/electronics"" class=""link link--alternative"">Show all Products ></a>","{{ content_product_abstract_list('apl-electronics', 'slider') }} ","{{ content_product_abstract_list('apl-electronics', 'slider') }}",Elektronik,Elektronik,Elektronik,Elektronik,,,,,"<a href=""/de/elektronik"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/de/elektronik"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/de/elektronik"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/de/elektronik"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","{{ content_product_abstract_list('apl-electronics', 'slider') }} ","{{ content_product_abstract_list('apl-electronics', 'slider') }} ","{{ content_product_abstract_list('apl-electronics', 'slider') }} ","{{ content_product_abstract_list('apl-electronics', 'slider') }} ",Elektronik,Elektronik,,,"<a href=""/it/elektronik"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/pt/elektronik"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","{{ content_product_abstract_list('apl-electronics', 'slider') }} ","{{ content_product_abstract_list('apl-electronics', 'slider') }} "
blck-4,Homepage Office Supplies,Title and Content with Link Block,@CmsBlock/template/title_content_and_link_block.twig,1,Bürobedarf,Office Supplies,,,"<a href=""/de/bürobedarf"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/en/office-supplies"" class=""link link--alternative"">Show all Products ></a>","{{ content_product_abstract_list('apl-office-supplies', 'slider') }} ","{{ content_product_abstract_list('apl-office-supplies', 'slider') }}",Bürobedarf,Bürobedarf,Bürobedarf,Bürobedarf,,,,,"<a href=""/de/bürobedarf"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/de/bürobedarf"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/de/bürobedarf"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/de/bürobedarf"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","{{ content_product_abstract_list('apl-office-supplies', 'slider') }} ","{{ content_product_abstract_list('apl-office-supplies', 'slider') }} ","{{ content_product_abstract_list('apl-office-supplies', 'slider') }} ","{{ content_product_abstract_list('apl-office-supplies', 'slider') }} ",Bürobedarf,Bürobedarf,,,"<a href=""/it/bürobedarf"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/pt/bürobedarf"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","{{ content_product_abstract_list('apl-office-supplies', 'slider') }} ","{{ content_product_abstract_list('apl-office-supplies', 'slider') }} "
blck-5,Homepage Clothing & Accessories,Title and Content with Link Block,@CmsBlock/template/title_content_and_link_block.twig,1,Bekleidung & Accessoires,Clothing & Accessories,,,"<a href=""/de/bekleidung-&-accessoires"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/en/clothing-&-accessories"" class=""link link--alternative"">Show all Products ></a>","{{ content_product_abstract_list('apl-clothing-accessories', 'slider') }} ","{{ content_product_abstract_list('apl-clothing-accessories', 'slider') }}",Bekleidung & Accessoires,Bekleidung & Accessoires,Bekleidung & Accessoires,Bekleidung & Accessoires,,,,,"<a href=""/de/bekleidung-&-accessoires"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/de/bekleidung-&-accessoires"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/de/bekleidung-&-accessoires"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/de/bekleidung-&-accessoires"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","{{ content_product_abstract_list('apl-clothing-accessories', 'slider') }} ","{{ content_product_abstract_list('apl-clothing-accessories', 'slider') }} ","{{ content_product_abstract_list('apl-clothing-accessories', 'slider') }} ","{{ content_product_abstract_list('apl-clothing-accessories', 'slider') }} ",Bekleidung & Accessoires,Bekleidung & Accessoires,,,"<a href=""/it/bekleidung-&-accessoires"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/pt/bekleidung-&-accessoires"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","{{ content_product_abstract_list('apl-clothing-accessories', 'slider') }} ","{{ content_product_abstract_list('apl-clothing-accessories', 'slider') }} "
blck-6,Homepage Banner Organic+,Jumbotron Block,@CmsBlock/template/jumbotron_slider_block.twig,1,,,,,,,"{{ content_banner('br-organic-plus', 'slider-without-link') }}","{{ content_banner('br-organic-plus', 'slider-without-link') }}",,,,,,,,,,,,,"{{ content_banner('br-organic-plus', 'slider-without-link') }}","{{ content_banner('br-organic-plus', 'slider-without-link') }}","{{ content_banner('br-organic-plus', 'slider-without-link') }}","{{ content_banner('br-organic-plus', 'slider-without-link') }}",,,,,,,"{{ content_banner('br-organic-plus', 'slider-without-link') }}","{{ content_banner('br-organic-plus', 'slider-without-link') }}"
blck-7,Homepage Banner Elite Club,Jumbotron Block,@CmsBlock/template/jumbotron_slider_block.twig,1,,,,,,,"{{ content_banner('br-elite-club', 'slider-without-link') }}","{{ content_banner('br-elite-club', 'slider-without-link') }}",,,,,,,,,,,,,"{{ content_banner('br-elite-club', 'slider-without-link') }}","{{ content_banner('br-elite-club', 'slider-without-link') }}","{{ content_banner('br-elite-club', 'slider-without-link') }}","{{ content_banner('br-elite-club', 'slider-without-link') }}",,,,,,,"{{ content_banner('br-elite-club', 'slider-without-link') }}","{{ content_banner('br-elite-club', 'slider-without-link') }}"
blck-8,Homepage Health & Beauty,Title and Content with Link Block,@CmsBlock/template/title_content_and_link_block.twig,1,Gesundheit & Schönheit,Health & Beauty,,,"<a href=""/de/gesundheit-&-schönheit"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/en/health-&-beauty"" class=""link link--alternative"">Show all Products ></a>","{{ content_product_abstract_list('apl-health-beauty', 'slider') }} ","{{ content_product_abstract_list('apl-health-beauty', 'slider') }}",Gesundheit & Schönheit,Gesundheit & Schönheit,Gesundheit & Schönheit,Gesundheit & Schönheit,,,,,"<a href=""/de/gesundheit-&-schönheit"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/de/gesundheit-&-schönheit"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/de/gesundheit-&-schönheit"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/de/gesundheit-&-schönheit"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","{{ content_product_abstract_list('apl-health-beauty', 'slider') }} ","{{ content_product_abstract_list('apl-health-beauty', 'slider') }} ","{{ content_product_abstract_list('apl-health-beauty', 'slider') }} ","{{ content_product_abstract_list('apl-health-beauty', 'slider') }} ",Gesundheit & Schönheit,Gesundheit & Schönheit,,,"<a href=""/it/gesundheit-&-schönheit"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","<a href=""/pt/gesundheit-&-schönheit"" class=""link link--alternative"">Alle Produkte anzeigen ></a>","{{ content_product_abstract_list('apl-health-beauty', 'slider') }} ","{{ content_product_abstract_list('apl-health-beauty', 'slider') }} "
blck-nav-desktop,CMS block for the main navigation desktop,Navigation block,@CmsBlock/template/navigation_block.twig,1,,,"{{ content_navigation('navigation-main-desktop', 'navigation-header') }}","{{ content_navigation('navigation-main-desktop', 'navigation-header') }}",,,,,,,,,"{{ content_navigation('navigation-main-desktop', 'navigation-header') }}","{{ content_navigation('navigation-main-desktop', 'navigation-header') }}","{{ content_navigation('navigation-main-desktop', 'navigation-header') }}","{{ content_navigation('navigation-main-desktop', 'navigation-header') }}",,,,,,,,,,,"{{ content_navigation('navigation-main-desktop', 'navigation-header') }}","{{ content_navigation('navigation-main-desktop', 'navigation-header') }}",,,,
blck-nav-mobile,CMS block for the main navigation mobile,Navigation block,@CmsBlock/template/navigation_block.twig,1,,,"{{ content_navigation('navigation-main-mobile', 'navigation-header-mobile') }}","{{ content_navigation('navigation-main-mobile', 'navigation-header-mobile') }}",,,,,,,,,"{{ content_navigation('navigation-main-mobile', 'navigation-header-mobile') }}","{{ content_navigation('navigation-main-mobile', 'navigation-header-mobile') }}","{{ content_navigation('navigation-main-mobile', 'navigation-header-mobile') }}","{{ content_navigation('navigation-main-mobile', 'navigation-header-mobile') }}",,,,,,,,,,,"{{ content_navigation('navigation-main-mobile', 'navigation-header-mobile') }}","{{ content_navigation('navigation-main-mobile', 'navigation-header-mobile') }}",,,,
