key,translation,locale
account.newsletter.text,"Inscrivez-vous à notre newsletter et restez toujours à jour! Recevez des mises à jour sur les dernières tendances en matière de smartphones et d'appareils portables, les meilleures marques et les offres exceptionnelles.",fr_FR
address.city,Ville,fr_FR
address.salutation,Salutation,fr_FR
address.street,rue,fr_FR
address.street_nr,Nombre,fr_FR
address.zip_code,Code postal,fr_FR
AdyenCreditCard,Carte de crédit,fr_FR
adyen.payment.error.cc_cvv,Veuillez vérifier le code CVC,fr_FR
adyen.payment.error.cc_month,Veuillez vérifier le mois de la carte de crédit,fr_FR
adyen.payment.error.cc_number,Veuillez vérifier le numéro de carte de crédit,fr_FR
adyen.payment.error.cc_year,Veuillez vérifier l'année de la carte de crédit,fr_FR
afiliate.legal.text,"Ce produit est vendu par un vendeur tiers. Le vendeur est seul responsable du prix, de la description du produit, des niveaux de stock et de l'expédition. En ce qui concerne la responsabilité de myWorld pour les liens hypertextes et leur contenu, nous nous référons aux conditions d’utilisation applicables à la place de marché myWorld.",fr_FR
agent.account.overview,Aperçu,fr_FR
agent.account.page_title,Agent,fr_FR
agent.account.profile_data,Profil d'agent,fr_FR
agent.account.quote_request,Demandes de devis,fr_FR
agent.authentication.failed,Authentification échouée,fr_FR
agent.autocomplete.no_results,Aucun résultat trouvé,fr_FR
agent.confirm_user_selection,Confirmer,fr_FR
agent.control_bar.customer_name,Client:,fr_FR
agent.control_bar.logout,Se déconnecter,fr_FR
agent.control_bar.logout_as_customer,Assistance client final,fr_FR
agent.control_bar.username,Agent:,fr_FR
agent.login.email,E-mail,fr_FR
agent.login.password,Mot de passe,fr_FR
agent.login.title,Accéder à votre compte,fr_FR
auth.email,E-mail,fr_FR
auth.im-already-customer,Je ai déjà un compte,fr_FR
auth.im-new-customer,Nouveau client,fr_FR
auth.login,S'inscrire,fr_FR
auth.password,Mot de passe,fr_FR
auth.password-forgot,Oublié?,fr_FR
auth.register,S'inscrire,fr_FR
autocomplete.placeholder,Rechercher,fr_FR
availability_notification.do_not_notify_me,Ne pas me prévenir lors du retour en stock,fr_FR
availability_notification.email_address,Adresse e-mail,fr_FR
availability_notification.notify_me,Prévenez-moi lorsque de nouveau en stock,fr_FR
availability_notification.subscribed,Abonné avec succès,fr_FR
availability_notification_subscription.mail.copyright,"<em> Copyright © nom de la société de l'année en cours, tous droits réservés. </em> <br> <br>",fr_FR
availability_notification_subscription.mail.notification.body,"L'attente est terminée, vous pouvez maintenant ajouter ce produit dans votre panier.",fr_FR
availability_notification_subscription.mail.notification.buy_now,Acheter maintenant,fr_FR
availability_notification_subscription.mail.notification.head,%name% est à nouveau disponible!,fr_FR
availability_notification_subscription.mail.notification.subject,%name% est à nouveau disponible!,fr_FR
availability_notification_subscription.mail.subscribed.body,Vous recevrez un e-mail lorsque le produit sera à nouveau disponible,fr_FR
availability_notification_subscription.mail.subscribed.head,Nous venons d'informer notre équipe d'achat de votre abonnement!,fr_FR
availability_notification_subscription.mail.subscribed.subject,Nous venons d'informer notre équipe d'achat de votre abonnement!,fr_FR
availability_notification_subscription.mail.unsubscribe,"Vous souhaitez modifier la façon dont vous recevez ces e-mails? <br> Vous pouvez <a target = ""_blank"" href=""%link%"" style=""mso-line-height-rule: exactement; -ms-text-size-adjust: 100%; - webkit-text-size-Adjust: 100%; color: # 656565; font-weight: normal; text-decoration: underline; ""> se désabonner de cette liste </a>.",fr_FR
cart.add-to-shopping-list.form.placeholder,Entrez le nom d'une nouvelle liste de courses,fr_FR
cart.cart,Chariot,fr_FR
cart.checkout,Vérifier,fr_FR
cart.code.apply.failed,Le code n'a pas pu être appliqué,fr_FR
cart.code.enter-code,Entrez le code du bon / de la carte-cadeau,fr_FR
cart.discounts,Réductions,fr_FR
cart.empty.button,Découvrez les offres,fr_FR
cart.empty.description,"Le seul désir du panier est de collecter pour vous les meilleures offres, cadeaux et bien d'autres excellents produits. Alors répondez au souhait de votre panier et donnez-lui un sens!",fr_FR
cart.empty.title,Votre panier est vide!,fr_FR
cart.giftcard.apply.failed,La carte cadeau n'est pas applicable,fr_FR
cart.giftcard.apply.successful,Le code de votre carte-cadeau a été appliqué,fr_FR
cart.giftcard.label,Carte cadeau,fr_FR
cart.item_attributes_needed,Veuillez sélectionner plus d'attributs,fr_FR
cart.item.bundle.description,Articles dans le lot:,fr_FR
cart.item.item_price,Prix de l'article,fr_FR
cart.item.item_total,Objet total,fr_FR
cart.item.option.description,Options de produit:,fr_FR
cart.item.option.pre.check.validation.error.exists,"Vous ne pouvez pas commander à nouveau le produit %name% directement, veuillez l'ajouter à votre panier séparément.",fr_FR
cart.item_quantity,Quantité,fr_FR
cart.item.remove.confirm,Voulez-vous vraiment supprimer cet élément?,fr_FR
cart.item.sku,SKU,fr_FR
cart_note.cart_page.cart.note_added,La note a été ajoutée avec succès au panier,fr_FR
cart_note.cart_page.item.note_added,La note a été ajoutée avec succès à l'élément '%sku%',fr_FR
cart_note.checkout_page.item_note,Noter,fr_FR
cart_note.checkout_page.quote_note,Remarque sur le panier,fr_FR
cart_note.customer_page.item_note,Commande d'article Remarque,fr_FR
cart_note.customer_page.order_note,Note de commande,fr_FR
cart_note.form.save,Sauvegarder,fr_FR
cart_note.item_form.enter_note,Ajouter une note pour l'élément,fr_FR
cart_note.item_form.placeholder,Entrez votre note,fr_FR
cart_note.quote_form.enter_note,Ajouter une note pour le panier,fr_FR
cart_note.quote_form.placeholder,Entrez votre note,fr_FR
cart.note-title,Remarque sur le panier,fr_FR
cart_page.error_message.unexpected_error,Une erreur inattendue s'est produite.,fr_FR
cart.pre.check.affiliate.failed,L'article %sku% ne peut pas être ajouté au panier.,fr_FR
cart.pre.check.availability.failed,L'article %sku% a uniquement une disponibilité de %stock%.,fr_FR
cart.pre.check.availability.failed.empty,L'article %sku% n'est plus disponible.,fr_FR
cart.pre.check.price.failed,Le prix dans la devise sélectionnée n'a pas été trouvé pour le produit avec sku '%sku%'. Veuillez changer la devise ou retirer le produit de la commande.,fr_FR
cart.pre.check.product_discontinued,"Le produit '%name%' n'est plus produit, veuillez en choisir un autre.",fr_FR
cart.pre.check.quantity.interval.failed,Les exigences d'intervalle de quantité pour le SKU de produit '%sku%' ne sont pas remplies.,fr_FR
cart.pre.check.quantity.max.failed,La quantité maximale pour le SKU de produit '%sku%' est dépassée.,fr_FR
cart.pre.check.quantity.min.failed,Les exigences de quantité minimale pour le SKU de produit '%sku%' ne sont pas remplies.,fr_FR
cart.pre.check.quantity.value.failed,Quantité incorrecte pour le SKU du produit '%sku%'.,fr_FR
cart.pre.check.shipment.failed,Impossible d'appliquer ces modifications. La méthode d'expédition n'a pas été trouvée. Veuillez sélectionner une autre méthode d'expédition.,fr_FR
cart.price,Prix,fr_FR
cart.price.grand.total,Montant total,fr_FR
cart.price.subtotal,Total,fr_FR
