merchant_key,merchant_reference,merchant_name,registration_number,status,email,is_active,url.de_DE,url.en_US
sony-experts,MER000006,Sony Experts,HYY 134306,approved,michele@sony-experts.com,1,/de/merchant/sony-experts,/en/merchant/sony-experts
budget-cameras,MER000005,Budget Cameras,HXX 134305,approved,jason.weidmann@budgetcamerasonline.com,1,/de/merchant/budget-cameras,/en/merchant/budget-cameras
impala-merchant-1,MER000004,Impala Merchant,3,waiting-for-approval,impala.merchant@merchant.kudu,0,/en/merchant/impala-merchant-1,/de/merchant/impala-merchant-1
sugar-monster,MER000003,Sugar Monster,4,waiting-for-approval,sugar.monster@merchant.kudu,0,/de/merchant/sugar-monster,/en/merchant/sugar-monster
restrictions-merchant,MER000007,Restrictions Merchant,5,waiting-for-approval,restrictions.merchant@merchant.kudu,0,/de/merchant/restrictions-merchant,/en/merchant/restrictions-merchant
spryker,MER000001,Spryker,HRB 134310,approved,harald@spryker.com,1,/de/merchant/spryker,/en/merchant/spryker
video-king,MER000002,Video King,1234.4567,approved,martha@video-king.nl,1,/de/merchant/video-king,/en/merchant/video-king
309000389,309000389,Bolf.sk,309000389,approved,309000389@spryker.com,1,/de/merchant/309000389,/en/merchant/309000389
309000248,309000248,Notino,309000248,approved,309000248@spryker.com,1,/de/merchant/309000248,/en/merchant/309000248
809000838,809000838,BlueTomato,809000838,approved,809000803@spryker.com,1,/de/merchant/809000838,/en/merchant/809000838
109000742,109000742,JDSport,109000742,approved,109000742@spryker.com,1,/de/merchant/109000742,/en/merchant/109000742
809001520,809001520,Samsung,809001520,approved,809001520@spryker.com,1,/de/merchant/809001520,/en/merchant/809001520
109000482,109000482,jogging point,109000482,approved,109000482@spryker.com,1,/de/merchant/109000482,/en/merchant/109000482
109000726,109000726,goodwheel,109000726,approved,109000726@spryker.com,1,/de/merchant/109000726,/en/merchant/109000726
149000754,149000754,Mifarma,149000754,approved,149000754@spryker.com,1,/de/merchant/149000754,/en/merchant/149000754
