attribute_key,target_field
color,full-text
color,suggestion-terms
color,completion-terms
size,full-text
size,suggestion-terms
size,completion-terms
brand,search-result-data
cashback_amount,search-result-data
shopping_points,search-result-data
sellable_ae,search-result-data
sellable_at,search-result-data
sellable_au,search-result-data
sellable_ba,search-result-data
sellable_be,search-result-data
sellable_bg,search-result-data
sellable_br,search-result-data
sellable_by,search-result-data
sellable_ca,search-result-data
sellable_ch,search-result-data
sellable_co,search-result-data
sellable_cy,search-result-data
sellable_cz,search-result-data
sellable_de,search-result-data
sellable_dk,search-result-data
sellable_ee,search-result-data
sellable_es,search-result-data
sellable_fi,search-result-data
sellable_fr,search-result-data
sellable_gb,search-result-data
sellable_gr,search-result-data
sellable_hk,search-result-data
sellable_hr,search-result-data
sellable_hu,search-result-data
sellable_ie,search-result-data
sellable_im,search-result-data
sellable_in,search-result-data
sellable_it,search-result-data
sellable_lt,search-result-data
sellable_lu,search-result-data
sellable_lv,search-result-data
sellable_mc,search-result-data
sellable_md,search-result-data
sellable_me,search-result-data
sellable_mk,search-result-data
sellable_mo,search-result-data
sellable_mt,search-result-data
sellable_mx,search-result-data
sellable_my,search-result-data
sellable_nl,search-result-data
sellable_no,search-result-data
sellable_nz,search-result-data
sellable_ph,search-result-data
sellable_pl,search-result-data
sellable_pt,search-result-data
sellable_qa,search-result-data
sellable_ro,search-result-data
sellable_rs,search-result-data
sellable_se,search-result-data
sellable_si,search-result-data
sellable_sk,search-result-data
sellable_th,search-result-data
sellable_tr,search-result-data
sellable_us,search-result-data
sellable_za,search-result-data
