concrete_sku,name,quantity,is_never_out_of_stock
3700736900489,MW_Solution,11,0
4251740700989,MW_Solution,20,0
4251740700996,MW_Solution,0,0
4251740701009,MW_Solution,8,0
4251740701016,MW_Solution,35,0
4251740701023,MW_Solution,5,0
4251740701030,MW_Solution,5,0
4251740701047,MW_Solution,2,0
4251740701054,MW_Solution,2,0
4251740701078,MW_Solution,2,0
4251740701085,MW_Solution,2,0
4251740701122,MW_Solution,2,0
4251740701146,MW_Solution,10,0
4251740701153,MW_Solution,10,0
4251740701160,MW_Solution,0,0
4251740701184,MW_Solution,5,0
4251740701207,MW_Solution,0,0
4251740701214,MW_Solution,5,0
4251740701221,MW_Solution,5,0
4251740701238,MW_Solution,5,0
4251740701245,MW_Solution,5,0
4251740701252,MW_Solution,50,0
4251740701269,MW_Solution,20,0
4251740701276,MW_Solution,10,0
4251740701283,MW_Solution,20,0
4251740701290,MW_Solution,20,0
4251740701306,MW_Solution,5,0
4251740701313,MW_Solution,5,0
4251740701320,MW_Solution,5,0a
4251740701337,MW_Solution,5,0
4251740701344,MW_Solution,20,0
4251740701351,MW_Solution,10,0
4251740701368,MW_Solution,20,0
4251740701375,MW_Solution,20,0
4251740701382,MW_Solution,20,0
4251740701399,MW_Solution,10,0
4251740701665,MW_Solution,10,0
9120050580244,MW_Solution,10,0
9120050580336,MW_Solution,5,0
9120050580404,MW_Solution,5,0
9120103410023,MW_Solution,0,1
9120103410030,MW_Solution,0,1
9120103410047,MW_Solution,0,1
9120103410054,MW_Solution,0,1
9120103410061,MW_Solution,0,1
9120103410078,MW_Solution,0,1
9120103410085,MW_Solution,0,1
9120103410092,MW_Solution,0,1
4251740701405-0011,MW_Solution,20,0
4251740701412-0011,MW_Solution,20,0
4251740701559-0004,MW_Solution,2,0
4251740701566-0004,MW_Solution,3,0
4251740701573-0004,MW_Solution,2,0
4251740701580-0004,MW_Solution,1,0
4251740701597-0004,MW_Solution,1,0
4251740701603-0006,MW_Solution,1,0
4251740701627-0006,MW_Solution,2,0
4251740701641-0006,MW_Solution,2,0
4251740701658-0005,MW_Solution,1,0
4251740701689-0008,MW_Solution,5,0
4251740701696-0008,MW_Solution,5,0
4251740701894-0005,MW_Solution,2,0
4251740701900-0005,MW_Solution,3,0
4251740701917-0005,MW_Solution,2,0
9120050580015-0007,MW_Solution,1,0
9120050580022-0007,MW_Solution,2,0
9120050580039-0007,MW_Solution,2,0
9120050580046-0007,MW_Solution,2,0
9120050580053-0007,MW_Solution,2,0
9120050580060-0001,MW_Solution,1,0
9120050580077-0001,MW_Solution,2,0
9120050580084-0001,MW_Solution,3,0
9120050580091-0001,MW_Solution,3,0
9120050580107-0001,MW_Solution,1,0
9120050580114-0001,MW_Solution,1,0
9120050580121-0003,MW_Solution,1,0
9120050580138-0003,MW_Solution,2,0
9120050580145-0003,MW_Solution,3,0
9120050580152-0003,MW_Solution,3,0
9120050580169-0003,MW_Solution,2,0
9120050580176-0003,MW_Solution,1,0
9120050580183-0002,MW_Solution,1,0
9120050580190-0002,MW_Solution,2,0
9120050580206-0002,MW_Solution,3,0
9120050580213-0002,MW_Solution,3,0
9120050580220-0002,MW_Solution,2,0
9120050580282-0005,MW_Solution,2,0
9120050580299-0006,MW_Solution,2,0
9120050580305-0006,MW_Solution,2,0
9120050580312-0011,MW_Solution,20,0
9120050580329-0011,MW_Solution,20,0
9120050580343-0012,MW_Solution,0,0
9120050580350-0012,MW_Solution,0,0
9120050580367-0012,MW_Solution,0,0
9120050580374-0012,MW_Solution,0,0
9120050580381-0013,MW_Solution,8,0
9120050580398-0013,MW_Solution,9,0
9120050580411-0010,MW_Solution,3,0
9120050580428-0010,MW_Solution,3,0
9120050580435-0010,MW_Solution,2,0
9120050580442-0010,MW_Solution,2,0
9120050580459-0009,MW_Solution,3,0
9120050580466-0009,MW_Solution,3,0
9120050580473-0009,MW_Solution,2,0
9120050580480-0009,MW_Solution,3,0
9120050580497-0009,MW_Solution,3,0
