category_key,parent_category_key,name.en_US,meta_title.en_US,meta_description.en_US,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,name.pl_PL,name.cs_CZ,name.sk_SK,meta_title.pl_PL,meta_title.cs_CZ,meta_title.sk_SK,meta_description.pl_PL,meta_description.cs_CZ,meta_description.sk_SK,meta_keywords.pl_PL,meta_keywords.cs_CZ,meta_keywords.sk_SK,category_image_name.pl_PL,category_image_name.cs_CZ,category_image_name.sk_SK
shop,,Shop,Shop,English version of Shop,English version of Shop,1,0,1,0,1,1,900,Catalog (default),,Shop,Shop,Shop,Shop,Shop,Shop,Shop,Deutsche Version des Shop,Deutsche Version des Shop,Shop,Deutsche Version des Shop,Deutsche Version des Shop,,,
AF000001,shop,Affiliate,Affiliate,Affiliate,Affiliate,1,1,1,1,0,1,923,Catalog (default),,Afiliacja,Affiliate,Affiliate,Afiliacja,Affiliate,Affiliate,Afiliacja,Affiliate,Affiliate,Afiliacja,Affiliate,Affiliate,,,
MC_10001,shop,Automotive,Automotive,Automotive,Automotive,1,1,1,1,0,1,,Catalog (default),,Motoryzacja,Auto & Motorrad,Auto & Motorrad,Motoryzacja,Auto & Motorrad,Auto & Motorrad,Motoryzacja,Auto & Motorrad,Auto & Motorrad,Motoryzacja,Auto & Motorrad,Auto & Motorrad,,,
SUB_10001,MC_10001,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,1,1,1,1,0,1,,Catalog (default),,Przyczepy i bagażniki,Anhänger & Trägersysteme,Anhänger & Trägersysteme,Przyczepy i bagażniki,Anhänger & Trägersysteme,Anhänger & Trägersysteme,Przyczepy i bagażniki,Anhänger & Trägersysteme,Anhänger & Trägersysteme,Przyczepy i bagażniki,Anhänger & Trägersysteme,Anhänger & Trägersysteme,,,
SUB_10002,MC_10001,Car Tuning,Car Tuning,Car Tuning,Car Tuning,1,1,1,1,0,1,,Catalog (default),,Tunning samochodu,Auto Tuning,Auto Tuning,Tunning samochodu,Auto Tuning,Auto Tuning,Tunning samochodu,Auto Tuning,Auto Tuning,Tunning samochodu,Auto Tuning,Auto Tuning,,,
SUB_10003,MC_10001,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,1,1,1,1,0,1,,Catalog (default),,Wyposażenie warsztatu samochodowego,Auto-Werkstattausstattung,Auto-Werkstattausstattung,Wyposażenie warsztatu samochodowego,Auto-Werkstattausstattung,Auto-Werkstattausstattung,Wyposażenie warsztatu samochodowego,Auto-Werkstattausstattung,Auto-Werkstattausstattung,Wyposażenie warsztatu samochodowego,Auto-Werkstattausstattung,Auto-Werkstattausstattung,,,
SUB_10004,MC_10001,Car Care,Car Care,Car Care,Car Care,1,1,1,1,0,1,,Catalog (default),,Kosmetyki samochodowe,Autopflege,Autopflege,Kosmetyki samochodowe,Autopflege,Autopflege,Kosmetyki samochodowe,Autopflege,Autopflege,Kosmetyki samochodowe,Autopflege,Autopflege,,,
SUB_10005,MC_10001,Car Parts,Car Parts,Car Parts,Car Parts,1,1,1,1,0,1,,Catalog (default),,Części samochodowe,Autoteile,Autoteile,Części samochodowe,Autoteile,Autoteile,Części samochodowe,Autoteile,Autoteile,Części samochodowe,Autoteile,Autoteile,,,
SUB_10006,MC_10001,Car accessories,Car accessories,Car accessories,Car accessories,1,1,1,1,0,1,,Catalog (default),,Akcesoria samochodowe,Autozubehör,Autozubehör,Akcesoria samochodowe,Autozubehör,Autozubehör,Akcesoria samochodowe,Autozubehör,Autozubehör,Akcesoria samochodowe,Autozubehör,Autozubehör,,,
SUB_10007,MC_10001,Vehicles,Vehicles,Vehicles,Vehicles,1,1,1,1,0,1,,Catalog (default),,Pojazdy,Fahrzeuge,Fahrzeuge,Pojazdy,Fahrzeuge,Fahrzeuge,Pojazdy,Fahrzeuge,Fahrzeuge,Pojazdy,Fahrzeuge,Fahrzeuge,,,
