page_key,store_name
page_1,PL
page_2,PL
page_3,PL
page_4,PL
page_5,PL
page_6,PL
page_7,PL
page_8,PL
page_9,PL
page_10,PL
page_11,PL
page_12,PL
page_13,PL
page_14,PL
page_1_sk,SK
page_2_sk,SK
page_3_sk,SK
page_4_sk,SK
page_5_sk,SK
page_6_sk,SK
page_7_sk,SK
page_8_sk,SK
page_9_sk,SK
page_10_sk,SK
page_11_sk,SK
page_12_sk,SK
page_13_sk,SK
page_14_sk,SK
page_1_cz,CZ
page_2_cz,CZ
page_3_cz,CZ
page_4_cz,CZ
page_5_cz,CZ
page_6_cz,CZ
page_7_cz,CZ
page_8_cz,CZ
page_9_cz,CZ
page_10_cz,CZ
page_11_cz,CZ
page_12_cz,CZ
page_13_cz,CZ
page_14_cz,CZ
