key,name,description,title.default,subtitle.default,image_url.default,click_url.default,alt_text.default,open_url_in_new_tab.default
br-welcome,Big Banner Welcome,Homepage - Welcome banner,Shopping with Benefits,Discover our wide range of products and get Cashback on every purchase,https://l.mwscdn.io/large/marketplace/Content/Banner/MP-Frontpage/frontpage_banner_09082021.png,javascript:void(0),Shopping with Benefits,false
br-welcome,Big Banner Welcome,Homepage - Welcome banner,Shopping mit Vorteilen,Entdecke unsere große Produktauswahl und hol dir Cashback bei jedem Einkauf,https://l.mwscdn.io/large/marketplace/Content/Banner/MP-Frontpage/frontpage_banner_09082021.png,javascript:void(0),Shopping mit Vorteilen,false
br-organic-plus,Big Banner ONESENSE,Homepage - ONESENSE banner,ONESENSE - With Nature's Power,Natural ingredients with proven results distinguish the ONESENSE products<br/><b>Discover now >> </b>,https://l.mwscdn.io/large/marketplace/Content/Banner/MP-Frontpage/onesense_LP_Head_1264x540_003.jpg,https://www.marketplace.myworld.com/en/onesense,ONESENSE - With Nature's Power,false
br-organic-plus,Big Banner ONESENSE,Homepage - ONESENSE banner,ONESENSE - mit der Kraft der Natur,Natürliche Zutaten mit belegten Ergebnissen unterscheiden ONESENSE Produkte<br/><b>Jetzt entdecken >> </b>,https://l.mwscdn.io/large/marketplace/Content/Banner/MP-Frontpage/onesense_LP_Head_1264x540_003.jpg,https://www.marketplace.myworld.com/pl/onesense,ONESENSE - With Nature's Power,false
br-elite-club,Big Banner Elite Club,Homepage - Elite Club banner,The exclusive Style of Elite Club,The products of Elite Club are perfect for friends of an exclusive lifestyle,/assets/static/images/myworld-banner-eliteclub-1920x500.jpg,/en/eliteclub,The exclusive Style of Elite Club,false
br-elite-club,Big Banner Elite Club,Homepage - Elite Club banner,Der exklusive Stil vom Elite Club,Die Produkte vom Elite Club sind ideal für Freunde des exklusiven Lifestyles,/assets/static/images/myworld-banner-eliteclub-1920x500.jpg,/pl/eliteclub,Der exklusive Stil vom Elite Club,false
br-the-freedom-of-cellular,Top Image Smartwatch,Top Image for the Smartwatches promotion landing page,The Freedom of Cellular,Explore the world of Smartwatches,/assets/static/images/banner-image.jpg,javascript:void(0),The Freedom of Cellular,false
br-the-freedom-of-cellular,Top Image Smartwatch,Top Image for the Smartwatches promotion landing page,Die Freiheit an der Hand,Entdecke die Welt der Smartwatches.,/assets/static/images/banner-image.jpg,javascript:void(0),Die Freiheit von Cellular,false
br-white-or-black,White or Black Smartwatches,"Content elements title, image, and text for the White or Black section in the Smartwatches promotion landing page.",White or Black?,Is white or black the cooler color for your new smartwatch?,/assets/static/images/banner-image.jpg,javascript:void(0),The Freedom of Cellular,false
br-white-or-black,White or Black Smartwatches,"Content elements title, image, and text for the White or Black section in the Smartwatches promotion landing page.",Weiß oder Schwarz?,Ist Weiß oder Schwarz die coolere Farbe für Ihre neue Smartwatch?,/assets/static/images/photo-background.png,javascript:void(0),Die Freiheit von Cellular,false
