product.value_73,product_price.price_type,product_abstract_store.store_name,product_price.currency,product.value_75,product_price.price_data.volume_prices,concrete_sku,product.value_10
TRUE,DEFAULT,PL,PLN,1253,,14824_A299574,MER000001
TRUE,DEFAULT,PL,PLN,1263,,14824_A299509,MER000001
TRUE,DEFAULT,PL,PLN,1268,,14824_A299444,MER000001
TRUE,DEFAULT,PL,PLN,1273,,14824_A298579,MER000001
TRUE,DEFAULT,PL,PLN,1278,,14824_A298575,MER000001
TRUE,DEFAULT,PL,PLN,1283,,14824_A298573,MER000001
TRUE,DEFAULT,PL,PLN,1288,,14824_A298561,MER000001
TRUE,DEFAULT,PL,PLN,1293,,14824_A298560,MER000001
TRUE,DEFAULT,PL,PLN,1298,,14824_A295392,MER000001
TRUE,DEFAULT,PL,PLN,1308,,14824_A295382,MER000001
TRUE,DEFAULT,PL,PLN,1318,,14824_A295352,MER000001
TRUE,DEFAULT,PL,PLN,1323,,14824_A293175,MER000001
TRUE,DEFAULT,PL,PLN,1333,,14824_A293173,MER000001
TRUE,DEFAULT,PL,PLN,1343,,14824_A293172,MER000001
TRUE,DEFAULT,PL,PLN,1353,,14824_A293171,MER000001
TRUE,DEFAULT,PL,PLN,1363,,14824_A293169,MER000001
TRUE,DEFAULT,PL,PLN,1378,,14824_A293167,MER000001
TRUE,DEFAULT,PL,PLN,1393,,14824_A293161,MER000001
TRUE,DEFAULT,PL,PLN,1403,,14824_A293123,MER000001
TRUE,DEFAULT,PL,PLN,1418,,14824_A293116,MER000001
TRUE,DEFAULT,PL,PLN,1423,,14824_A293097,MER000001
TRUE,DEFAULT,PL,PLN,1438,,14824_A293085,MER000001
TRUE,DEFAULT,PL,PLN,1448,,14824_A293084,MER000001
TRUE,DEFAULT,PL,PLN,1463,,14824_A292487,MER000001
TRUE,DEFAULT,PL,PLN,1473,,14824_A292477,MER000001
TRUE,DEFAULT,PL,PLN,1483,,14824_A292472,MER000001
TRUE,DEFAULT,PL,PLN,1488,,14824_A292464,MER000001
TRUE,DEFAULT,PL,PLN,1498,,14824_A292463,MER000001
TRUE,DEFAULT,PL,PLN,1508,,14824_A292454,MER000001
TRUE,DEFAULT,PL,PLN,1518,,14824_A292452,MER000001
TRUE,DEFAULT,PL,PLN,1528,,14824_A292446,MER000001
TRUE,DEFAULT,PL,PLN,1533,,14824_A292445,MER000001
TRUE,DEFAULT,PL,PLN,1543,,14824_A292443,MER000001
TRUE,DEFAULT,PL,PLN,1548,,14824_A292440,MER000001
TRUE,DEFAULT,PL,PLN,1558,,14824_A292436,MER000001
TRUE,DEFAULT,PL,PLN,1568,,14824_A292240,MER000001
TRUE,DEFAULT,PL,PLN,1573,,14824_A290666,MER000001
TRUE,DEFAULT,PL,PLN,1583,,14824_A290659,MER000001
TRUE,DEFAULT,PL,PLN,1598,,14824_A290655,MER000001
TRUE,DEFAULT,PL,PLN,1608,,14824_A290646,MER000001
TRUE,DEFAULT,PL,PLN,1623,,14824_A290630,MER000001
TRUE,DEFAULT,PL,PLN,1638,,14824_A289603,MER000001
TRUE,DEFAULT,PL,PLN,1643,,14824_A289536,MER000001
