block_key,store_name
blck-1,HU
blck-2,HU
blck-3,HU
blck-4,HU
blck-5,HU
blck-6,HU
blck-7,HU
blck-8,HU
blck-nav-desktop,HU
blck-nav-mobile,HU
blck-nav-footer,HU
cms-block-email--customer-registration--html,HU
cms-block-email--customer-registration--text,HU
cms-block-email--customer-registration_token--html,HU
cms-block-email--customer-registration_token--text,HU
cms-block-email--customer-restore-password--html,HU
cms-block-email--customer-restore-password--text,HU
cms-block-email--customer-restored-password-confirmation--html,HU
cms-block-email--customer-restored-password-confirmation--text,HU
cms-block-email--restore-password--html,HU
cms-block-email--restore-password--text,HU
cms-block-email--availability-notification-subscription--html,HU
cms-block-email--availability-notification-subscription--text,HU
cms-block-email--availability-notification-unsubscribed--html,HU
cms-block-email--availability-notification-unsubscribed--text,HU
cms-block-email--availability-notification--html,HU
cms-block-email--availability-notification--text,HU
cms-block-email--gift-card-delivery--html,HU
cms-block-email--gift-card-delivery--text,HU
cms-block-email--gift-card-usage--html,HU
cms-block-email--gift-card-usage--text,HU
cms-block-email--newsletter-subscribed--html,HU
cms-block-email--newsletter-subscribed--text,HU
cms-block-email--newsletter-unsubscribed--html,HU
cms-block-email--newsletter-unsubscribed--text,HU
cms-block-email--order-confirmation--html,HU
cms-block-email--order-in-processing--text,HU
cms-block-email--order-in-processing--html,HU
cms-block-email--order-confirmation--text,HU
cms-block-email--order-shipped--html,HU
cms-block-email--order-shipped--text,HU
cms-block-email--shipping-confirmation--html,HU
cms-block-email--shipping-confirmation--text,HU
blck-1,RO
blck-2,RO
blck-3,RO
blck-4,RO
blck-5,RO
blck-6,RO
blck-7,RO
blck-8,RO
blck-nav-desktop,RO
blck-nav-mobile,RO
blck-nav-footer,RO
cms-block-email--customer-registration--html,RO
cms-block-email--customer-registration--text,RO
cms-block-email--customer-registration_token--html,RO
cms-block-email--customer-registration_token--text,RO
cms-block-email--customer-restore-password--html,RO
cms-block-email--customer-restore-password--text,RO
cms-block-email--customer-restored-password-confirmation--html,RO
cms-block-email--customer-restored-password-confirmation--text,RO
cms-block-email--restore-password--html,RO
cms-block-email--restore-password--text,RO
cms-block-email--availability-notification-subscription--html,RO
cms-block-email--availability-notification-subscription--text,RO
cms-block-email--availability-notification-unsubscribed--html,RO
cms-block-email--availability-notification-unsubscribed--text,RO
cms-block-email--availability-notification--html,RO
cms-block-email--availability-notification--text,RO
cms-block-email--gift-card-delivery--html,RO
cms-block-email--gift-card-delivery--text,RO
cms-block-email--gift-card-usage--html,RO
cms-block-email--gift-card-usage--text,RO
cms-block-email--newsletter-subscribed--html,RO
cms-block-email--newsletter-subscribed--text,RO
cms-block-email--newsletter-unsubscribed--html,RO
cms-block-email--newsletter-unsubscribed--text,RO
cms-block-email--order-confirmation--html,RO
cms-block-email--order-in-processing--text,RO
cms-block-email--order-in-processing--html,RO
cms-block-email--order-confirmation--text,RO
cms-block-email--order-shipped--html,RO
cms-block-email--order-shipped--text,RO
cms-block-email--shipping-confirmation--html,RO
cms-block-email--shipping-confirmation--text,RO
blck-1,MD
blck-2,MD
blck-3,MD
blck-4,MD
blck-5,MD
blck-6,MD
blck-7,MD
blck-8,MD
blck-nav-desktop,MD
blck-nav-mobile,MD
blck-nav-footer,MD
cms-block-email--customer-registration--html,MD
cms-block-email--customer-registration--text,MD
cms-block-email--customer-registration_token--html,MD
cms-block-email--customer-registration_token--text,MD
cms-block-email--customer-restore-password--html,MD
cms-block-email--customer-restore-password--text,MD
cms-block-email--customer-restored-password-confirmation--html,MD
cms-block-email--customer-restored-password-confirmation--text,MD
cms-block-email--restore-password--html,MD
cms-block-email--restore-password--text,MD
cms-block-email--availability-notification-subscription--html,MD
cms-block-email--availability-notification-subscription--text,MD
cms-block-email--availability-notification-unsubscribed--html,MD
cms-block-email--availability-notification-unsubscribed--text,MD
cms-block-email--availability-notification--html,MD
cms-block-email--availability-notification--text,MD
cms-block-email--gift-card-delivery--html,MD
cms-block-email--gift-card-delivery--text,MD
cms-block-email--gift-card-usage--html,MD
cms-block-email--gift-card-usage--text,MD
cms-block-email--newsletter-subscribed--html,MD
cms-block-email--newsletter-subscribed--text,MD
cms-block-email--newsletter-unsubscribed--html,MD
cms-block-email--newsletter-unsubscribed--text,MD
cms-block-email--order-confirmation--html,MD
cms-block-email--order-in-processing--text,MD
cms-block-email--order-in-processing--html,MD
cms-block-email--order-confirmation--text,MD
cms-block-email--order-shipped--html,MD
cms-block-email--order-shipped--text,MD
cms-block-email--shipping-confirmation--html,MD
cms-block-email--shipping-confirmation--text,MD
