payment_method_key,store
dummyPaymentInvoice,HU
dummyPaymentCreditCard,HU
adyenCreditCard,HU
dummyPrepayment,HU
BenefitVouchers,HU
EVoucher,HU
ShoppingPoints,HU
EVoucherMarketer,HU
Cashback,HU
dummyPaymentInvoice,RO
dummyPaymentCreditCard,RO
adyenCreditCard,RO
dummyPrepayment,RO
BenefitVouchers,RO
EVoucher,RO
ShoppingPoints,RO
EVoucherMarketer,RO
Cashback,RO
dummyPaymentInvoice,MD
dummyPaymentCreditCard,MD
adyenCreditCard,MD
dummyPrepayment,MD
BenefitVouchers,MD
EVoucher,MD
ShoppingPoints,MD
EVoucherMarketer,MD
Cashback,MD
