category_key,parent_category_key,name.en_US,meta_title.en_US,meta_description.en_US,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,name.nb_NO,name.fi_FI,name.da_DK,name.sv_SE,meta_title.nb_NO,meta_title.fi_FI,meta_title.da_DK,meta_title.sv_SE,meta_description.nb_NO,meta_description.fi_FI,meta_description.da_DK,meta_description.sv_SE,meta_keywords.nb_NO,meta_keywords.fi_FI,meta_keywords.da_DK,meta_keywords.sv_SE,category_image_name.nb_NO,category_image_name.fi_FI,category_image_name.da_DK,category_image_name.sv_SE
shop,,shop,Shop,English version of Shop,English version of Shop,1,0,1,0,1,1,900,Catalog (default),,Shop,shop,shop,shop,Shop,shop,shop,shop,Shop,shop,shop,shop,Shop,shop,shop,shop,,,,
9999999996,shop,Easter specials,Easter specials,Oster Angebote,Oster Angebote,1,0,1,0,0,1,13,Catalog (default),,Tilbud i påsken,Easter specials,Easter specials,Easter specials,Tilbud i påsken,Easter specials,Easter specials,Easter specials,Tilbud i påsken,Easter specials,Easter specials,Easter specials,Tilbud i påsken,Easter specials,Easter specials,Easter specials,,,,
9999999997,shop,offline / deactivated,offline / deactivated,offline / deactivated,,0,0,1,0,0,1,18,Catalog (default),,frakoblet / deaktivert,offline / deactivated,offline / deactivated,offline / deactivated,frakoblet / deaktivert,offline / deactivated,offline / deactivated,offline / deactivated,frakoblet / deaktivert,offline / deactivated,offline / deactivated,offline / deactivated,frakoblet / deaktivert,offline / deactivated,offline / deactivated,offline / deactivated,,,,
9999999998,shop,Highlights,Highlights,Highlights,Highlights,1,0,1,0,0,1,14,Catalog (default),,Høydepunkter,Highlights,Highlights,Highlights,Høydepunkter,Highlights,Highlights,Highlights,Høydepunkter,Highlights,Highlights,Highlights,Høydepunkter,Highlights,Highlights,Highlights,,,,
9999999999,shop,Unsorted,Unsorted,,,0,0,1,0,0,1,17,Catalog (default),,Usortert,Unsorted,Unsorted,Unsorted,Usortert,Unsorted,Unsorted,Unsorted,Usortert,Unsorted,Unsorted,Unsorted,Usortert,Unsorted,Unsorted,Unsorted,,,,
MC_10001,shop,Automotive,Automotive,Automotive,Automotive,1,1,1,1,0,1,2,Catalog (default),,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,,,,
MC_11001,shop,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,1,1,1,1,0,1,10,Catalog (default),,Motetilbehør,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,Motetilbehør,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,Motetilbehør,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,Motetilbehør,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,,,,
MC_12001,shop,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,1,1,1,1,0,1,11,Catalog (default),,Sport og Friluft,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,Sport og Friluft,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,Sport og Friluft,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,Sport og Friluft,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,,,,
MC_13001,shop,Pet Supplies,Pet Supplies,Pet Supplies,Pet Supplies,1,1,1,1,0,1,12,Catalog (default),,Kjæledyrutstyr,Pet Supplies,Pet Supplies,Pet Supplies,Kjæledyrutstyr,Pet Supplies,Pet Supplies,Pet Supplies,Kjæledyrutstyr,Pet Supplies,Pet Supplies,Pet Supplies,Kjæledyrutstyr,Pet Supplies,Pet Supplies,Pet Supplies,,,,
MC_14001,shop,Vouchers,Vouchers,Vouchers,Vouchers,1,1,1,1,0,1,16,Catalog (default),,Gavekort,Vouchers,Vouchers,Vouchers,Gavekort,Vouchers,Vouchers,Vouchers,Gavekort,Vouchers,Vouchers,Vouchers,Gavekort,Vouchers,Vouchers,Vouchers,,,,
