payment_method_key,store
dummyPaymentInvoice,NO
dummyPaymentCreditCard,NO
adyenCreditCard,NO
dummyPrepayment,NO
BenefitVouchers,NO
EVoucher,NO
ShoppingPoints,NO
EVoucherMarketer,NO
Cashback,NO
dummyPaymentInvoice,FI
dummyPaymentCreditCard,FI
adyenCreditCard,FI
dummyPrepayment,FI
BenefitVouchers,FI
EVoucher,FI
ShoppingPoints,FI
EVoucherMarketer,FI
Cashback,FI
dummyPaymentInvoice,DK
dummyPaymentCreditCard,DK
adyenCreditCard,DK
dummyPrepayment,DK
BenefitVouchers,DK
EVoucher,DK
ShoppingPoints,DK
EVoucherMarketer,DK
Cashback,DK
dummyPaymentInvoice,SE
dummyPaymentCreditCard,SE
adyenCreditCard,SE
dummyPrepayment,SE
BenefitVouchers,SE
EVoucher,SE
ShoppingPoints,SE
EVoucherMarketer,SE
Cashback,SE
