key,input_type,allow_input,is_multiple,values,key_translation.en_US,value_translations.en_US,key_translation.nb_NO,key_translation.fi_FI,key_translation.da_DK,key_translation.sv_SE,value_translations.nb_NO,value_translations.fi_FI,value_translations.da_DK,value_translations.sv_SE
color,text,yes,yes,"weiß, schwarz, grau, silber, blau, gelb, lila, pink, platin, kupfer, orange, gold, marineblau, grün, rot, braun",Color,"white, black, grey, silver, blue, yellow, purple, pink, platinum, copper, orange, gold, navy, green, red, brown",Farge,Farbe,Farbe,Farbe,"hvit, svart, grå, sølv, blå, gul, lilla, rosa, platina, kobber, oransje, gull, marine, grønn, rød, brun","weiß, schwarz, grau, silber, blau, gelb, lila, pink, platin, kupfer, orange, gold, marineblau, grün, rot, braun","weiß, schwarz, grau, silber, blau, gelb, lila, pink, platin, kupfer, orange, gold, marineblau, grün, rot, braun","weiß, schwarz, grau, silber, blau, gelb, lila, pink, platin, kupfer, orange, gold, marineblau, grün, rot, braun"
size,text,no,no,"XS, S, M, L, XL, XXL",Size,,Størrelse,Größe,Größe,Größe,,,,
mpn,text,yes,no,,MPN,,MPN,MPN,MPN,MPN,,,,
ean,number,yes,no,,EAN,,EAN,EAN,EAN,EAN,,,,
material,text,yes,no,,Material,,Materiale,Material,Material,Material,,,,
manufacturer,text,yes,no,,Manufacturer,,Produsent,Herstellerin,Herstellerin,Herstellerin,,,,
brand,text,yes,no,,Brand,,Merke,Marke,Marke,Marke,,,,
length,number,yes,no,,Length,,Lengde,Länge,Länge,Länge,,,,
width,number,yes,no,,Width,,Vidde,Breite,Breite,Breite,,,,
height,number,yes,no,,Height,,Høyde,Höhe,Höhe,Höhe,,,,
weight,number,yes,no,,Weight,,Vekt,Gewicht,Gewicht,Gewicht,,,,
taric_code,text,yes,no,,taric_code,,taric_code,taric_code,taric_code,taric_code,,,,
gtin,text,yes,no,,gtin,,gtin,gtin,gtin,gtin,,,,
sellable_at,checkbox,yes,no,,sellable_at,,selges_at,sellable_at,sellable_at,sellable_at,,,,
sellable_cz,checkbox,yes,no,,sellable_cz,,selges_cz,sellable_cz,sellable_cz,sellable_cz,,,,
sellable_fi,checkbox,yes,no,,sellable_fi,,selges_fi,sellable_fi,sellable_fi,sellable_fi,,,,
sellable_de,checkbox,yes,no,,sellable_de,,selges_de,sellable_de,sellable_de,sellable_de,,,,
sellable_hu,checkbox,yes,no,,sellable_hu,,selges_hu,sellable_hu,sellable_hu,sellable_hu,,,,
sellable_it,checkbox,yes,no,,sellable_it,,selges_it,sellable_it,sellable_it,sellable_it,,,,
sellable_no,checkbox,yes,no,,sellable_no,,selges_no,sellable_no,sellable_no,sellable_no,,,,
sellable_pl,checkbox,yes,no,,sellable_pl,,selges_pl,sellable_pl,sellable_pl,sellable_pl,,,,
sellable_pt,checkbox,yes,no,,sellable_pt,,selges_pt,sellable_pt,sellable_pt,sellable_pt,,,,
sellable_ch,checkbox,yes,no,,sellable_ch,,selges_ch,sellable_ch,sellable_ch,sellable_ch,,,,
sellable_sk,checkbox,yes,no,,sellable_sk,,selges_sk,sellable_sk,sellable_sk,sellable_sk,,,,
sellable_si,checkbox,yes,no,,sellable_si,,selges_si,sellable_si,sellable_si,sellable_si,,,,
sellable_se,checkbox,yes,no,,sellable_se,,selges_se,sellable_se,sellable_se,sellable_se,,,,
sellable_be,checkbox,yes,no,,sellable_be,,selges_be,sellable_be,sellable_be,sellable_be,,,,
sellable_bg,checkbox,yes,no,,sellable_bg,,selges_bg,sellable_bg,sellable_bg,sellable_bg,,,,
sellable_hr,checkbox,yes,no,,sellable_hr,,selges_hr,sellable_hr,sellable_hr,sellable_hr,,,,
sellable_cy,checkbox,yes,no,,sellable_cy,,selges_cy,sellable_cy,sellable_cy,sellable_cy,,,,
sellable_dk,checkbox,yes,no,,sellable_dk,,selges_dk,sellable_dk,sellable_dk,sellable_dk,,,,
sellable_ee,checkbox,yes,no,,sellable_ee,,selges_ee,sellable_ee,sellable_ee,sellable_ee,,,,
sellable_fr,checkbox,yes,no,,sellable_fr,,selges_fr,sellable_fr,sellable_fr,sellable_fr,,,,
sellable_gr,checkbox,yes,no,,sellable_gr,,selges_gr,sellable_gr,sellable_gr,sellable_gr,,,,
sellable_ee,checkbox,yes,no,,sellable_ee,,selges_ee,sellable_ee,sellable_ee,sellable_ee,,,,
sellable_im,checkbox,yes,no,,sellable_im,,selges_im,sellable_im,sellable_im,sellable_im,,,,
sellable_lv,checkbox,yes,no,,sellable_lv,,selges_lv,sellable_lv,sellable_lv,sellable_lv,,,,
sellable_lt,checkbox,yes,no,,sellable_lt,,selges_lt,sellable_lt,sellable_lt,sellable_lt,,,,
sellable_lu,checkbox,yes,no,,sellable_lu,,selges_lu,sellable_lu,sellable_lu,sellable_lu,,,,
sellable_mt,checkbox,yes,no,,sellable_mt,,selges_mt,sellable_mt,sellable_mt,sellable_mt,,,,
sellable_mc,checkbox,yes,no,,sellable_mc,,selges_mc,sellable_mc,sellable_mc,sellable_mc,,,,
sellable_nl,checkbox,yes,no,,sellable_nl,,selges_nl,sellable_nl,sellable_nl,sellable_nl,,,,
sellable_ro,checkbox,yes,no,,sellable_ro,,selges_ro,sellable_ro,sellable_ro,sellable_ro,,,,
sellable_es,checkbox,yes,no,,sellable_es,,selges_es,sellable_es,sellable_es,sellable_es,,,,
sellable_gb,checkbox,yes,no,,sellable_gb,,selges_gb,sellable_gb,sellable_gb,sellable_gb,,,,
sellable_ae,checkbox,yes,no,,sellable_ae,,selges_ae,sellable_ae,sellable_ae,sellable_ae,,,,
sellable_au,checkbox,yes,no,,sellable_au,,selges_au,sellable_au,sellable_au,sellable_au,,,,
sellable_ba,checkbox,yes,no,,sellable_ba,,selges_ba,sellable_ba,sellable_ba,sellable_ba,,,,
sellable_br,checkbox,yes,no,,sellable_br,,selges_br,sellable_br,sellable_br,sellable_br,,,,
sellable_by,checkbox,yes,no,,sellable_by,,selges_by,sellable_by,sellable_by,sellable_by,,,,
sellable_ca,checkbox,yes,no,,sellable_ca,,selges_ca,sellable_ca,sellable_ca,sellable_ca,,,,
sellable_co,checkbox,yes,no,,sellable_co,,selges_co,sellable_co,sellable_co,sellable_co,,,,
sellable_hk,checkbox,yes,no,,sellable_hk,,selges_hk,sellable_hk,sellable_hk,sellable_hk,,,,
sellable_ie,checkbox,yes,no,,sellable_ie,,selges_ie,sellable_ie,sellable_ie,sellable_ie,,,,
sellable_in,checkbox,yes,no,,sellable_in,,selges_in,sellable_in,sellable_in,sellable_in,,,,
sellable_md,checkbox,yes,no,,sellable_md,,selges_md,sellable_md,sellable_md,sellable_md,,,,
sellable_me,checkbox,yes,no,,sellable_me,,selges_me,sellable_me,sellable_me,sellable_me,,,,
sellable_mk,checkbox,yes,no,,sellable_mk,,selges_mk,sellable_mk,sellable_mk,sellable_mk,,,,
sellable_mo,checkbox,yes,no,,sellable_mo,,selges_mo,sellable_mo,sellable_mo,sellable_mo,,,,
sellable_mx,checkbox,yes,no,,sellable_mx,,selges_mx,sellable_mx,sellable_mx,sellable_mx,,,,
sellable_my,checkbox,yes,no,,sellable_my,,selges_my,sellable_my,sellable_my,sellable_my,,,,
sellable_nz,checkbox,yes,no,,sellable_nz,,selges_nz,sellable_nz,sellable_nz,sellable_nz,,,,
sellable_ph,checkbox,yes,no,,sellable_ph,,selges_ph,sellable_ph,sellable_ph,sellable_ph,,,,
sellable_qa,checkbox,yes,no,,sellable_qa,,selges_qa,sellable_qa,sellable_qa,sellable_qa,,,,
