category_key,parent_category_key,name.en_US,meta_title.en_US,meta_description.en_US,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,name.it_IT,name.fr_FR,name.el_GR,meta_title.it_IT,meta_title.fr_FR,meta_title.el_GR,meta_description.it_IT,meta_description.fr_FR,meta_description.el_GR,meta_keywords.it_IT,meta_keywords.fr_FR,meta_keywords.el_GR,category_image_name.it_IT,category_image_name.fr_FR,category_image_name.el_GR
shop,,shop,Shop,English version of Shop,English version of Shop,1,0,1,0,1,1,900,Catalog (default),,Shop,Shop,Shop,Shop,Shop,Shop,Shop,Shop,Shop,,,,,,
9999999996,shop,Easter specials,Easter specials,Easter specials,Easter specials,1,0,1,0,0,1,13,Catalog (default),,Easter specials,Easter specials,Easter specials,Easter specials,Easter specials,Easter specials,Easter specials,Easter specials,Easter specials,,,,,,
9999999997,shop,offline / deactivated,offline / deactivated,offline / deactivated,offline / deactivated,0,0,1,0,0,1,18,Catalog (default),,offline / deactivated,offline / deactivated,offline / deactivated,offline / deactivated,offline / deactivated,offline / deactivated,offline / deactivated,offline / deactivated,offline / deactivated,,,,,,
9999999998,shop,Highlights,Highlights,Highlights,Highlights,1,0,1,0,0,1,14,Catalog (default),,Highlights,Highlights,Highlights,Highlights,Highlights,Highlights,Highlights,Highlights,Highlights,,,,,,
9999999999,shop,Unsorted,Unsorted,Unsorted,Unsorted,0,0,1,0,0,1,17,Catalog (default),,Unsorted,Unsorted,Unsorted,Unsorted,Unsorted,Unsorted,Unsorted,Unsorted,Unsorted,,,,,,
MC_10001,shop,Automotive,Automotive,Automotive,Automotive,1,1,1,1,0,1,2,Catalog (default),,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,,,,,,
MC_11001,shop,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,1,1,1,1,0,1,10,Catalog (default),,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,,,,,,
MC_12001,shop,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,1,1,1,1,0,1,11,Catalog (default),,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,,,,,,
MC_13001,shop,Pet Supplies,Pet Supplies,Pet Supplies,Pet Supplies,1,1,1,1,0,1,12,Catalog (default),,Pet Supplies,Pet Supplies,Pet Supplies,Pet Supplies,Pet Supplies,Pet Supplies,Pet Supplies,Pet Supplies,Pet Supplies,,,,,,
MC_14001,shop,Vouchers,Vouchers,Vouchers,Vouchers,1,1,1,1,0,1,16,Catalog (default),,Vouchers,Vouchers,Vouchers,Vouchers,Vouchers,Vouchers,Vouchers,Vouchers,Vouchers,,,,,,
MC_15001,shop,Daily Needs,Daily Needs,Daily Needs,Daily Needs,1,1,1,1,0,1,1,Catalog (default),,Daily Needs,Daily Needs,Daily Needs,Daily Needs,Daily Needs,Daily Needs,Daily Needs,Daily Needs,Daily Needs,,,,,,
MC_20001,shop,Baby & Child,Baby & Child,Baby & Child,Baby & Child,1,1,1,1,0,1,3,Catalog (default),,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,,,,,,
MC_30001,shop,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,1,1,1,1,0,1,4,Catalog (default),,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,,,,,,
