key,translation,locale
auth.login-button,Accedi con MyWorld.,it_IT
BenefitVouchers,Voucher di beneficio,it_IT
benefit_deal.item_quantity,Quantità:,it_IT
benefit_deal.product.attribute.manufacturer_name,Marca:,it_IT
cart.delete.button,Elimina,it_IT
cart.include.vat,incl. I.V.A.,it_IT
cart.shipping_standard,Standard di spedizione,it_IT
cart.total_wo_deals,Totale,it_IT
checkout.currency.my_world.shopping_points,Punti dello shopping riscattati,it_IT
checkout.payment.myworld.payment_methods.balance_text,Bilancia,it_IT
checkout.payment.myworld.payment_methods.method.cashback,Rimborso,it_IT
checkout.payment.myworld.payment_methods.method.evoucher,favoucher,it_IT
checkout.payment.myworld.payment_methods.method.evoucher_marketer,MyWorld EVoucher (Marketer),it_IT
checkout.payment.myworld.payment_methods.subtitle,È possibile scegliere tra i seguenti metodi di epilogo MyWorld (facoltativo):,it_IT
checkout.payment.myworld.payment_methods.title,EPYMENT MYWORLD.,it_IT
checkout.payment.my_world.error.transaction_batch_failed,La transazione di pagamento non è stata elaborata a causa di un altro fallimento della transazione batch,it_IT
checkout.payment.my_world.error.transaction_exceeded_value,Importo di transazione di pagamento superato l'importo disponibile,it_IT
checkout.payment.my_world.error.transaction_failed,Transazione di pagamento Non è riuscita,it_IT
checkout.payment.my_world.error.transaction_option_not_found,La transazione di pagamento non è riuscita a causa dell'opzione di pagamento sconosciuta,it_IT
checkout.step.benefit_deal.benefit_voucher,Importo del buono beneficio totale utilizzato,it_IT
checkout.step.benefit_deal.error.amount_is_bigger_then_in_items,L'importo massimo dovrebbe essere %maxamount% %currency% (quantità massima di BV). Si prega di verificare,it_IT
checkout.step.benefit_deal.error.not_enough_benefit_voucher_balance,"Sfortunatamente, non hai abbastanza BV per acquistare questo prodotto a uno sconto. Quantità necessaria: %currency% %needamount.skip.needamount%, il tuo saldo: %currency% %balanceamount%",it_IT
checkout.step.benefit_deal.error.not_enough_shopping_points_balance,"Sfortunatamente, non hai abbastanza SP per acquistare questo prodotto a uno sconto.",it_IT
checkout.step.benefit_deal.error.not_spent_min_voucher_balance,"Gentile cliente, è necessario spendere almeno %needamount% %currency% dal tuo bucher Bilancio Bilancia per ottenere un prodotto Deal Deal Buonorder.",it_IT
checkout.step.benefit_deal.items,Elementi,it_IT
checkout.step.benefit_deal.or,o,it_IT
checkout.step.benefit_deal.title,Panoramica dell'ordine,it_IT
checkout.step.benefit_deal.total_used_shopping_points,Usato total shopping punti,it_IT
checkout.step.benefit_deal.use_shopping_points,Utilizzare l'affare dei punti dello shopping,it_IT
checkout.step.benefit_deal.use_voucher,Utilizzare i buoni di beneficio (BV) per lo sconto,it_IT
checkout.step.benefit_deal.with_method,insieme a,it_IT
checkout.step.error.link,Vai al carrello,it_IT
checkout.step.error.sub_title,Ordine non riuscito a causa di errori:,it_IT
checkout.step.summary.modal.email,E-mail:,it_IT
checkout.step.summary.modal.email_radio_label,Genera nuovo codice di verifica inviato via e-mail,it_IT
checkout.step.summary.modal.error_session_expired,"La sessione di pagamento è scaduta, si prega di tornare alla fase di pagamento.",it_IT
checkout.step.summary.modal.error_when_resending_by_sms,"C'è un errore durante il tentativo di inviare il codice tramite SMS, riprova più tardi.",it_IT
checkout.step.summary.modal.info,Come ti piacerebbe ricevere il tuo codice PIN?,it_IT
checkout.step.summary.modal.link,Non ha ricevuto un codice?,it_IT
checkout.step.summary.modal.phone,Numero:,it_IT
checkout.step.summary.modal.please_wait_30_seconds,Attendere 30 secondi per richiedere un nuovo codice.,it_IT
checkout.step.summary.modal.resend_already_by_mail,"Il codice è stato inviato via e-mail, controlla anche la cartella spam.",it_IT
checkout.step.summary.modal.resend_already_by_sms,"Il codice è stato inviato tramite SMS, si prega di verificare.",it_IT
checkout.step.summary.modal.resend_retry,Puoi provare a inviare di nuovo dentro:,it_IT
checkout.step.summary.modal.sms_radio_label,Genera nuovo codice di verifica inviato tramite SMS,it_IT
checkout.step.summary.modal.submit,Invia codice PIN.,it_IT
checkout.step.summary.modal.title,Non ha ricevuto un codice PIN?,it_IT
customer.balance.into,Hai:,it_IT
customer.balance.my_world_benefit_voucher_account,Voucher di beneficio,it_IT
customer.balance.my_world_cashback_account,Rimborso,it_IT
customer.balance.my_world_e_voucher,favoucher,it_IT
customer.balance.my_world_e_voucher_on_behalf_of_marketer,MyWorld EVoucher (Marketer),it_IT
customer.balance.my_world_shopping_points_account,Punti dello shopping,it_IT
customer.order.priceToPay,Somma,it_IT
discount.internal.shopping_points,Punti dello shopping,it_IT
error.429,Troppe richieste,it_IT
merchant_product_offer.sold_by,Venduto da,it_IT
merchant_product_offer.view_seller,Visualizza il venditore,it_IT
merchant_profile.address,Indirizzo,it_IT
merchant_profile.cancellation_policy,Politica di cancellazione,it_IT
merchant_profile.delivery_time,Tempo di consegna,it_IT
merchant_profile.email,Indirizzo email,it_IT
merchant_profile.imprint,Impronta,it_IT
merchant_profile.phone,Telefono,it_IT
merchant_profile.privacy,Privacy dei dati,it_IT
merchant_profile.terms_and_conditions,Termini & Condizioni,it_IT
oms.state.calculating_refund,Calcolo del rimborso,it_IT
oms.state.failed,Non riuscito,it_IT
oms.state.myworld_payment_pending,Pendendo il pagamento MyWorld.,it_IT
oms.state.my_world_refunded,MyWorld rimborsato,it_IT
oms.state.my_world_refund_due_to_payment_failure,Rimborso di myworld a causa del fallimento del pagamento,it_IT
oms.state.my_world_refund_failed,Il rimborso di MyWorld non è riuscito,it_IT
oms.state.processing_refund,Rimborso della lavorazione,it_IT
oms.state.ready_for_refund,Pronto per il rimborso,it_IT
oms.state.refunded,Rimborsato,it_IT
oms.state.refund_failed,Rimborso non riuscito,it_IT
oms.state.refund_pending,Rimborso in attesa,it_IT
oms.state.refund_pending_next_try,Provare il rimborso successivo Prova,it_IT
oms.state.reserved,Riservato,it_IT
oms.state.turnover-cancelled,Fatturato annullato,it_IT
oms.state.validating_refund,Convalidare il rimborso,it_IT
page.checkout.payment.3d_secure_text,"Assicurati che la carta di credito inserita sia stata verificata per il nuovo sistema sicuro 3D. Senza questa verifica, la transazione non sarà possibile, per ulteriori informazioni, contattare il fornitore di carte di credito.",it_IT
payment.payment_method.adyen_credit_card,Carta di credito,it_IT
payment.payment_method.benefit_vouchers,Voucher di beneficio,it_IT
payment.payment_method.cashback,Rimborso,it_IT
payment.payment_method.dummy_prepayment,Pagamento anticipato,it_IT
payment.payment_method.e_voucher,favoucher,it_IT
payment.payment_method.e_voucher_marketer,MyWorld EVoucher (Marketer),it_IT
payment.payment_method.paid,Pagato,it_IT
payment.payment_provider.adyen,Adyen.,it_IT
payment.payment_provider.my_world,Il mio mondo,it_IT
payment.payment_provider.nopayment,Nessun pagamento,it_IT
pdp.include.tax,incl. Imposta,it_IT
pdp.price,Prezzo,it_IT
pdp.price.benefit_voucher_price,AFFARE BENEFICARE,it_IT
pdp.price.regular_price,Prezzo regolare,it_IT
pdp.price.shopping_points_price,Affare del punto di acquisto,it_IT
product.filter.merchant_name,Mercante,it_IT
product_detail_page.benefit_price.benefit_amount,max %amount%.,it_IT
product_detail_page.desclaimer_text,Desclaimer.,it_IT
product_item.benefit_deal.or,o,it_IT
security_blocker_page.error.account_blocked,Troppi log in tentativi dal tuo indirizzo. Per favore aspetta %minutes% minuti prima di riprovare.,it_IT
validator.check.phone,Numero di telefono invalido,it_IT
auth.login-button,Connectez-vous avec MyWorld,fr_FR
BenefitVouchers,Avantage Voucher,fr_FR
benefit_deal.item_quantity,Quantité:,fr_FR
benefit_deal.product.attribute.manufacturer_name,Marque:,fr_FR
cart.delete.button,Effacer,fr_FR
cart.include.vat,incl. T.V.A.,fr_FR
cart.shipping_standard,Standard d'expédition,fr_FR
cart.total_wo_deals,Le total,fr_FR
checkout.currency.my_world.shopping_points,Points d'achat rachetés,fr_FR
checkout.payment.myworld.payment_methods.balance_text,Équilibre,fr_FR
checkout.payment.myworld.payment_methods.method.cashback,Remboursement,fr_FR
checkout.payment.myworld.payment_methods.method.evoucher,évènement,fr_FR
checkout.payment.myworld.payment_methods.method.evoucher_marketer,myworld evoucher (marketing),fr_FR
checkout.payment.myworld.payment_methods.subtitle,Vous pouvez choisir entre les méthodes d'épayement MyWorld suivantes (facultatif):,fr_FR
checkout.payment.myworld.payment_methods.title,epayment myworld,fr_FR
checkout.payment.my_world.error.transaction_batch_failed,La transaction de paiement n'a pas été traitée en raison d'une autre transaction par lots échouant,fr_FR
checkout.payment.my_world.error.transaction_exceeded_value,Montant de la transaction de paiement dépassée le montant disponible,fr_FR
checkout.payment.my_world.error.transaction_failed,La transaction de paiement a échoué,fr_FR
checkout.payment.my_world.error.transaction_option_not_found,La transaction de paiement a échoué en raison de l'option de paiement inconnu,fr_FR
checkout.step.benefit_deal.benefit_voucher,Quantité d'achat total d'avantage total d'occasion,fr_FR
checkout.step.benefit_deal.error.amount_is_bigger_then_in_items,Le montant maximal devrait être %maxamount% skip@skip.currency.ski.com (montant maximum de BV). Veuillez vérifier,fr_FR
checkout.step.benefit_deal.error.not_enough_benefit_voucher_balance,"Malheureusement, vous n'avez pas assez de BV pour acheter ce produit à une réduction. Montant nécessaire: %currency% %needamount.ski.com, votre solde: skip@skip.currency% %balanceamount%",fr_FR
checkout.step.benefit_deal.error.not_enough_shopping_points_balance,"Malheureusement, vous n'avez pas assez de SP pour acheter ce produit à une remise.",fr_FR
checkout.step.benefit_deal.error.not_spent_min_voucher_balance,"Cher client, vous devez dépenser au moins %needamount% %Currency% de votre béquille de votre bon d'avantage pour obtenir un produit de transaction d'avantage.",fr_FR
checkout.step.benefit_deal.items,Articles,fr_FR
checkout.step.benefit_deal.or,ou,fr_FR
checkout.step.benefit_deal.title,Vue d'ensemble des commandes,fr_FR
checkout.step.benefit_deal.total_used_shopping_points,Points d'achat total d'occasion,fr_FR
checkout.step.benefit_deal.use_shopping_points,Utiliser des points d'achat,fr_FR
checkout.step.benefit_deal.use_voucher,Utilisez les bons d'avantage (BV) pour escompter,fr_FR
checkout.step.benefit_deal.with_method,avec,fr_FR
checkout.step.error.link,Aller au panier,fr_FR
checkout.step.error.sub_title,La commande a échoué en raison d'erreurs:,fr_FR
checkout.step.summary.modal.email,E-mail:,fr_FR
checkout.step.summary.modal.email_radio_label,Générer un nouveau code de vérification envoyé par courrier électronique,fr_FR
checkout.step.summary.modal.error_session_expired,"Votre session de paiement a expiré, veuillez revenir à l'étape de paiement.",fr_FR
checkout.step.summary.modal.error_when_resending_by_sms,"Il y a une erreur lors de la tentative d'envoi du code via SMS, veuillez réessayer ultérieurement.",fr_FR
checkout.step.summary.modal.info,Comment voudriez-vous recevoir votre code PIN?,fr_FR
checkout.step.summary.modal.link,N'a pas reçu de code?,fr_FR
checkout.step.summary.modal.phone,Nombre:,fr_FR
checkout.step.summary.modal.please_wait_30_seconds,Veuillez patienter 30 secondes pour demander un nouveau code.,fr_FR
checkout.step.summary.modal.resend_already_by_mail,"Le code a été envoyé par e-mail, veuillez vérifier également votre dossier SPAM.",fr_FR
checkout.step.summary.modal.resend_already_by_sms,"Le code a été envoyé via SMS, veuillez vérifier.",fr_FR
checkout.step.summary.modal.resend_retry,Vous pouvez essayer d'envoyer à nouveau dans:,fr_FR
checkout.step.summary.modal.sms_radio_label,Générer un nouveau code de vérification envoyé via SMS,fr_FR
checkout.step.summary.modal.submit,Envoyer code PIN,fr_FR
checkout.step.summary.modal.title,N'a pas reçu de code PIN?,fr_FR
customer.balance.into,Tu as:,fr_FR
customer.balance.my_world_benefit_voucher_account,Avantage Voucher,fr_FR
customer.balance.my_world_cashback_account,Remboursement,fr_FR
customer.balance.my_world_e_voucher,évènement,fr_FR
customer.balance.my_world_e_voucher_on_behalf_of_marketer,myworld evoucher (marketing),fr_FR
customer.balance.my_world_shopping_points_account,Points de shopping,fr_FR
