navigation_key,node_key,parent_node_key,node_type,title.en_US,url.en_US,css_class.en_US,valid_from,valid_to,title.it_IT,title.fr_FR,title.el_GR,url.it_IT,url.fr_FR,url.el_GR,css_class.it_IT,css_class.fr_FR,css_class.el_GR
FOOTER_NAVIGATION_INFO,node_key_96,,cms_page,About myWorld.com,/en/about-us,,,,Su myworld.com.,Su myworld.com.,Σχετικά με το MyWorld.com,/it/about-us,/fr/about-us,/el/about-us,,,
FOOTER_NAVIGATION_INFO,node_key_eliteclub,,cms_page,EliteClub,/en/eliteclub,,,,Eliteclub.,Eliteclub.,Eliteclub,/it/eliteclub,/fr/eliteclub,/el/eliteclub,,,
FOOTER_NAVIGATION_INFO,node_key_lyconet_store,,cms_page,Lyconet,/en/lyconet-store,,,,Lyconet.,LYCONET.,Λυκόστρο,/it/lyconet-store,/fr/lyconet-store,/el/lyconet-store,,,
FOOTER_NAVIGATION_INFO,node_key_onesense,,cms_page,ONESENSE,/en/onesense,,,,Onesense.,OneSense.,Ιερός,/it/onesense,/fr/onesense,/el/onesense,,,
FOOTER_NAVIGATION_LEGAL,node_key_33,,cms_page,Imprint,/en/imprint,,,,Impronta,Impronta,Αποτύπωμα,/it/imprint,/fr/imprint,/el/imprint,,,
FOOTER_NAVIGATION_LEGAL,node_key_35,,cms_page,Privacy Policy,/en/privacy,,,,politica sulla riservatezza,Politica Sulla Riservateurza,Πολιτική απορρήτου,/it/privacy,/fr/privacy,/el/privacy,,,
FOOTER_NAVIGATION_LEGAL,node_key_94,,cms_page,Terms and Conditions,/en/gtc,,,,Termini e Condizioni,TERMINI E CONDIZIONI,Οροι και Προϋποθέσεις,/it/gtc,/fr/gtc,/el/gtc,,,
FOOTER_NAVIGATION_LEGAL,node_key_95,,cms_page,Terms of use,/en/terms-of-use,,,,Termini di utilizzo,TERMINI DI UTILIZZO,Οροι χρήσης,/it/terms-of-use,/fr/terms-of-use,/el/terms-of-use,,,
FOOTER_NAVIGATION_LEGAL,node_key_row,,cms_page,Right of withdrawal,/en/row,,,,Diritto di ritiro,Diritto di Ritiro,Δικαίωμα απόσυρσης,/it/row,/fr/row,/el/row,,,
FOOTER_NAVIGATION_INFO,node_key_contact,,external_url,Contact,https://www.myworld.com/contact?formularTypeID=General,,,,Contatto,Contato,Επικοινωνία,https://www.myworld.com/contact?formularTypeID=General,,,,,
SOCIAL_LINKS,node_key_39,,external_url,Twitter,https://twitter.com/myWorld_uk/,twitter,,,Twitter.,Twitter.,Κελάδημα,https://twitter.com/myWorld_uk/,https://twitter.com/myWorld_uk/,https://twitter.com/myWorld_uk/,,,
SOCIAL_LINKS,node_key_39,,external_url,Youtube,https://www.youtube.com/channel/UCCdwFBArbzg98DeUD_-l_uQ?sub_confirmation=1,youtube,,,Youtube,Youtube,Youtube,https://www.youtube.com/channel/UCCdwFBArbzg98DeUD_-l_uQ?sub_confirmation=1,https://www.youtube.com/channel/UCCdwFBArbzg98DeUD_-l_uQ?sub_confirmation=1,https://www.youtube.com/channel/UCCdwFBArbzg98DeUD_-l_uQ?sub_confirmation=1,,,
SOCIAL_LINKS,node_key_40,,external_url,Pinterest,https://www.pinterest.com/myworldofficial/,pinterest,,,Pinterest,Pinterest,Πρησμένος,https://www.pinterest.com/myworldofficial/,https://www.pinterest.com/myworldofficial/,https://www.pinterest.com/myworldofficial/,,,
SOCIAL_LINKS,node_key_41,,external_url,Instagram,https://www.instagram.com/myworld.global/,instagram,,,Instagram.,Instagram.,Ίνσταγκραμ,https://www.instagram.com/myworld.com.official/,https://www.instagram.com/myworld.com.official/,https://www.instagram.com/myworld.com.official/,,,
SOCIAL_LINKS,node_key_42,,external_url,Facebook,https://www.facebook.com/myWorld.int,facebook,,,Facebook,Facebook,Facebook,https://www.facebook.com/myWorld.Italia,https://www.facebook.com/myWorld.France,https://www.facebook.com/myWorldGreece.Shopping,,,
PARTNERS,node_key_91,,label,Paypal,,paypal,,,Paypal.,Pay Pal.,Paypal,,,,,,
PARTNERS,node_key_92,,label,Klarna,,klarna,,,Klarna.,Klarna.,Καραμέλα,,,,,,
PARTNERS,node_key_93,,label,DHL,,dhl,,,Dhl.,Dhl.,Dhl,,,,,,
PAYMENT_PROVIDERS,node_key_36,,label,Paypal,,paypal,,,Paypal.,Pay Pal.,Paypal,,,,,,
PAYMENT_PROVIDERS,node_key_37,,label,Klarna,,klarna,,,Klarna.,Klarna.,Καραμέλα,,,,,,
SHIPMENT_PROVIDERS,node_key_38,,label,DHL,,dhl,,,Dhl.,Dhl.,Dhl,,,,,,
