payment_method_key,store
dummyPaymentInvoice,IT
dummyPaymentCreditCard,IT
adyenCreditCard,IT
dummyPrepayment,IT
BenefitVouchers,IT
EVoucher,IT
ShoppingPoints,IT
EVoucherMarketer,IT
Cashback,IT
dummyPaymentInvoice,FR
dummyPaymentCreditCard,FR
adyenCreditCard,FR
dummyPrepayment,FR
BenefitVouchers,FR
EVoucher,FR
ShoppingPoints,FR
EVoucherMarketer,FR
Cashback,FR
dummyPaymentInvoice,GR
dummyPaymentCreditCard,GR
adyenCreditCard,GR
dummyPrepayment,GR
BenefitVouchers,GR
EVoucher,GR
ShoppingPoints,GR
EVoucherMarketer,GR
Cashback,GR
