key,input_type,allow_input,is_multiple,values,key_translation.en_US,value_translations.en_US,key_translation.it_IT,key_translation.fr_FR,key_translation.el_GR,value_translations.it_IT,value_translations.fr_FR,value_translations.el_GR
color,text,yes,yes,"weiß, schwarz, grau, silber, blau, gelb, lila, pink, platin, kupfer, orange, gold, marineblau, grün, rot, braun",Color,"white, black, grey, silver, blue, yellow, purple, pink, platinum, copper, orange, gold, navy, green, red, brown",Colore,Couleur,χρώμα,"bianco, nero, grigio, argento, blu, giallo, viola, rosa, platino, rame, arancione, oro, navy, verde, rosso, marrone","Blanc, noir, gris, argenté, bleu, jaune, violet, rose, platine, cuivre, orange, doré, bleu marine, vert, rouge, marron","λευκό, μαύρο, γκρι, ασήμι, μπλε, κίτρινο, μοβ, ροζ, πλατίνα, χάλκινο, πορτοκαλί, χρυσό, μπλε μαρίν, πράσινο, κόκκινο, καφέ"
size,text,no,no,"XS, S, M, L, XL, XXL",Size,,Taglia,Taille,μέγεθος,,,
mpn,text,yes,no,,MPN,,Codice produttore (MPN),Référence fabricant (MPN),mpn,,,
ean,number,yes,no,,EAN,,Codice a barre,Code-barres EAN,ean,,,
material,text,yes,no,,Material,,Materiale,Matériau(x),υλικό,,,
manufacturer,text,yes,no,,Manufacturer,,Produttore,Fabricant,κατασκευαστής,,,
brand,text,yes,no,,Brand,,Marca,Marque,εμπορικό σήμα,,,
length,number,yes,no,,Length,,Lunghezza,Longueur,μήκος,,,
width,number,yes,no,,Width,,Larghezza,Largeur,πλάτος,,,
height,number,yes,no,,Height,,Altezza,Hauteur,ύψος,,,
weight,number,yes,no,,Weight,,Peso,Poids,βάρος,,,
taric_code,text,yes,no,,taric_code,,taric_code,taric_code,taric_code,,,
gtin,text,yes,no,,gtin,,Codice d'articolo internazionale (GTIN),Code d'article international GTIN,gtin,,,
shopping_points,number,yes,no,,shopping_points,,shopping_points,shopping_points,Shopping Points,,,
cashback_amount,number,yes,no,,cashback_amount,,cashback_amount,cashback_amount,Cashback Amount,,,
color_01,text,yes,no,,color_01,,color_01,color_01,color_01,,,
size_01,text,yes,no,,size_01,,size_01,size_01,size_01,,,
country_of_origin,text,yes,no,,country_of_origin,,country_of_origin,country_of_origin,χώρα προέλευσης,,,
gender,text,yes,no,"Male, Female",Gender,"Male, Female",Genere,Sexe,γένος,"Uomo, Donna","Homme, Femme","αρσενικό, θηλυκό"
featured_products,checkbox,no,no,1,Featured products,,Prodotti in vetrina,Produits populaires,προτεινόμενα προϊόντα,,,
benefit_store_sales_price,text,yes,no,,Benefit Store Sales Price,,Benefit Store Sales Price,Prix de vente Benefit Store,Τιμή πώλησης στοBenefit Store ,,,
benefit_amount,number,yes,no,,Benefit Amount,,Benefit Voucher totali,Montant de l'avantage,Ύψος του Benefit,,,
benefit_store,checkbox,yes,no,,Benefit Store,,Benefit Store,Benefit Store,Benefit Store,,,
shopping_point_store,checkbox,yes,no,,shopping_point_store,,shopping_point_store,shopping_point_store,shopping_point_store,,,
product_sp_amount,text,yes,no,,product_sp_amount,,product_sp_amount,product_sp_amount,product_sp_amount,,,
office_dealer_id,text,yes,no,,office_dealer_id,,office_dealer_id,office_dealer_id,office_dealer_id,,,
ec_deal_only,checkbox,no,no,1,ec_deal_only,,ec_deal_only,ec_deal_only,ec_deal_only,,,
base_price_display_value,,no,no,,,,,,,,,
product_language,text,yes,no,"Bulgarisch,Dänisch,Deutsch,Englisch,Estnisch,Finnisch,Französisch,Griechisch,Irisch,Italienisch,Kroatisch,Lettisch,Litauisch,Maltesisch,Niederländisch,Polnisch,Portugiesisch,Rumänisch,Schwedisch,Slowakisch,Slowenisch,Spanisch,Tschechisch,Ungarisch,dummy",,,,,,,,
style,text,yes,no,"standard,dummy,10er Pack,5er Pack",,,,,,,,
memory_size,text,yes,no,,,,,,,,,
language_packaging,text,yes,no,,,,,,,,,
language_bda,text,yes,no,,,,,,,,,
gender_01,text,yes,no,,,,,,,,,
affiliate_product,text,yes,no,,,,,,,,,
affiliate_deeplink,text,yes,no,,,,,,,,,
affiliate_displayed_price,text,yes,no,,,,,,,,,
affiliate_merchant_name,text,yes,no,,,,,,,,,
affiliate_merchant_id,text,yes,no,,,,,,,,,
affiliate_merchant_product_id,text,yes,no,,,,,,,,,
affiliate_availability,text,yes,no,,,,,,,,,
display_size_inch,text,yes,no,,,,,,,,,
display_size_cm,text,yes,no,,,,,,,,,
isbn,text,yes,no,,,,,,,,,
upc,text,yes,no,,,,,,,,,
packaging_unit,text,yes,no,,,,,,,,,
age_restriction_fsk_usk,text,yes,no,,,,,,,,,
age_restriction_pegi,text,yes,no,,,,,,,,,
weight_total,number,yes,no,,,,,,,,,
affiliate_network,text,yes,no,,,,,,,,,
marketer_only,checkbox,yes,no,,,,,,,,,
cbw_private_only,checkbox,yes,no,,,,,,,,,
platform_01,text,yes,no,,,,,,,,,
product_type,text,yes,no,,,,,,,,,
age_restriction,text,yes,no,,,,,,,,,
type_01,text,yes,no,,,,,,,,,
batteries,text,yes,no,,,,,,,,,
diameter,number,yes,no,,,,,,,,,
energy_efficiency,text,no,no,"A,B,C,D,E,F,G",,,,,,,,
hygiene,checkbox,no,no,x,,,,,,,,
contains,text,yes,no,,,,,,,,,
mhd,date,yes,no,,,,,,,,,
no_refund,checkbox,yes,no,x,,,,,,,,
my_deal,select,no,no,"BV DEAL,SP DEAL,EC DEAL",,,,,,,,
