block_key,store_name
blck-1,ES
blck-2,ES
blck-3,ES
blck-4,ES
blck-5,ES
blck-6,ES
blck-7,ES
blck-8,ES
blck-nav-desktop,ES
blck-nav-mobile,ES
blck-nav-footer,ES
cms-block-email--customer-registration--html,ES
cms-block-email--customer-registration--text,ES
cms-block-email--customer-registration_token--html,ES
cms-block-email--customer-registration_token--text,ES
cms-block-email--customer-restore-password--html,ES
cms-block-email--customer-restore-password--text,ES
cms-block-email--customer-restored-password-confirmation--html,ES
cms-block-email--customer-restored-password-confirmation--text,ES
cms-block-email--restore-password--html,ES
cms-block-email--restore-password--text,ES
cms-block-email--availability-notification-subscription--html,ES
cms-block-email--availability-notification-subscription--text,ES
cms-block-email--availability-notification-unsubscribed--html,ES
cms-block-email--availability-notification-unsubscribed--text,ES
cms-block-email--availability-notification--html,ES
cms-block-email--availability-notification--text,ES
cms-block-email--gift-card-delivery--html,ES
cms-block-email--gift-card-delivery--text,ES
cms-block-email--gift-card-usage--html,ES
cms-block-email--gift-card-usage--text,ES
cms-block-email--newsletter-subscribed--html,ES
cms-block-email--newsletter-subscribed--text,ES
cms-block-email--newsletter-unsubscribed--html,ES
cms-block-email--newsletter-unsubscribed--text,ES
cms-block-email--order-confirmation--html,ES
cms-block-email--order-in-processing--text,ES
cms-block-email--order-in-processing--html,ES
cms-block-email--order-confirmation--text,ES
cms-block-email--order-shipped--html,ES
cms-block-email--order-shipped--text,ES
cms-block-email--shipping-confirmation--html,ES
cms-block-email--shipping-confirmation--text,ES
blck-1,PT
blck-2,PT
blck-3,PT
blck-4,PT
blck-5,PT
blck-6,PT
blck-7,PT
blck-8,PT
blck-nav-desktop,PT
blck-nav-mobile,PT
blck-nav-footer,PT
cms-block-email--customer-registration--html,PT
cms-block-email--customer-registration--text,PT
cms-block-email--customer-registration_token--html,PT
cms-block-email--customer-registration_token--text,PT
cms-block-email--customer-restore-password--html,PT
cms-block-email--customer-restore-password--text,PT
cms-block-email--customer-restored-password-confirmation--html,PT
cms-block-email--customer-restored-password-confirmation--text,PT
cms-block-email--restore-password--html,PT
cms-block-email--restore-password--text,PT
cms-block-email--availability-notification-subscription--html,PT
cms-block-email--availability-notification-subscription--text,PT
cms-block-email--availability-notification-unsubscribed--html,PT
cms-block-email--availability-notification-unsubscribed--text,PT
cms-block-email--availability-notification--html,PT
cms-block-email--availability-notification--text,PT
cms-block-email--gift-card-delivery--html,PT
cms-block-email--gift-card-delivery--text,PT
cms-block-email--gift-card-usage--html,PT
cms-block-email--gift-card-usage--text,PT
cms-block-email--newsletter-subscribed--html,PT
cms-block-email--newsletter-subscribed--text,PT
cms-block-email--newsletter-unsubscribed--html,PT
cms-block-email--newsletter-unsubscribed--text,PT
cms-block-email--order-confirmation--html,PT
cms-block-email--order-in-processing--text,PT
cms-block-email--order-in-processing--html,PT
cms-block-email--order-confirmation--text,PT
cms-block-email--order-shipped--html,PT
cms-block-email--order-shipped--text,PT
cms-block-email--shipping-confirmation--html,PT
