category_key,parent_category_key,name.en_US,name.en_GB,name.en_IE,name.fr_BE,name.nl_BE,name.nl_NL,meta_title.en_US,meta_title.en_GB,meta_title.en_IE,meta_title.fr_BE,meta_title.nl_BE,meta_title.nl_NL,meta_description.en_US,meta_description.en_GB,meta_description.en_IE,meta_description.fr_BE,meta_description.nl_BE,meta_description.nl_NL,meta_keywords.en_US,meta_keywords.en_GB,meta_keywords.en_IE,meta_keywords.fr_BE,meta_keywords.nl_BE,meta_keywords.nl_NL,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,category_image_name.en_GB,category_image_name.en_IE,category_image_name.fr_BE,category_image_name.nl_BE,category_image_name.nl_NL
shop,,Shop,Shop,Shop,Shop,Shop,Shop,Shop,Shop,Shop,Shop,Shop,Shop,English version of Shop,English version of Shop,English version of Shop,English version of Shop,English version of Shop,English version of Shop,English version of Shop,English version of Shop,English version of Shop,English version of Shop,English version of Shop,English version of Shop,1,0,1,0,1,1,900,Catalog (default),,,,,,
AF000001,shop,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,Affiliate,1,1,1,1,0,1,923,Catalog (default),,,,,,
MC_10001,shop,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,Automotive,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_10001,MC_10001,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_10002,MC_10001,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,Car Tuning,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_10003,MC_10001,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_10004,MC_10001,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,Car Care,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_10005,MC_10001,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,Car Parts,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_10006,MC_10001,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,Car accessories,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_10007,MC_10001,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,Vehicles,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_10008,MC_10001,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_10009,MC_10001,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_10010,MC_10001,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,Wheels & Tires,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_10010_01,SUB_10010,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,Rims,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_10010_02,SUB_10010,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,Summer tires,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_10010_03,SUB_10010,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,All Season tires,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_10010_04,SUB_10010,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,Winter tires,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_10010_05,SUB_10010,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,Offroad tires,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_10010_06,SUB_10010,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,Truck Tires,1,1,1,1,0,1,,Catalog (default),,,,,,
MC_20001,shop,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,Baby & Child,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_20001,MC_20001,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,Baby food & accessories,1,1,1,1,0,1,,Catalog (default),,,,,,
SUB_20002,MC_20001,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,Baby care & diapering accessories,1,1,1,1,0,1,,Catalog (default),,,,,,
