block_key,store_name
blck-1,GB
blck-2,GB
blck-3,GB
blck-4,GB
blck-5,GB
blck-6,GB
blck-7,GB
blck-8,GB
blck-nav-desktop,GB
blck-nav-mobile,GB
blck-nav-footer,GB
cms-block-email--customer-registration--html,GB
cms-block-email--customer-registration--text,GB
cms-block-email--customer-registration_token--html,GB
cms-block-email--customer-registration_token--text,GB
cms-block-email--customer-restore-password--html,GB
cms-block-email--customer-restore-password--text,GB
cms-block-email--customer-restored-password-confirmation--html,GB
cms-block-email--customer-restored-password-confirmation--text,GB
cms-block-email--restore-password--html,GB
cms-block-email--restore-password--text,GB
cms-block-email--availability-notification-subscription--html,GB
cms-block-email--availability-notification-subscription--text,GB
cms-block-email--availability-notification-unsubscribed--html,GB
cms-block-email--availability-notification-unsubscribed--text,GB
cms-block-email--availability-notification--html,GB
cms-block-email--availability-notification--text,GB
cms-block-email--gift-card-delivery--html,GB
cms-block-email--gift-card-delivery--text,GB
cms-block-email--gift-card-usage--html,GB
cms-block-email--gift-card-usage--text,GB
cms-block-email--newsletter-subscribed--html,GB
cms-block-email--newsletter-subscribed--text,GB
cms-block-email--newsletter-unsubscribed--html,GB
cms-block-email--newsletter-unsubscribed--text,GB
cms-block-email--order-confirmation--html,GB
cms-block-email--order-in-processing--text,GB
cms-block-email--order-in-processing--html,GB
cms-block-email--order-confirmation--text,GB
cms-block-email--order-shipped--html,GB
cms-block-email--order-shipped--text,GB
cms-block-email--shipping-confirmation--html,GB
cms-block-email--shipping-confirmation--text,GB
blck-1,BE
blck-2,BE
blck-3,BE
blck-4,BE
blck-5,BE
blck-6,BE
blck-7,BE
blck-8,BE
blck-nav-desktop,BE
blck-nav-mobile,BE
blck-nav-footer,BE
cms-block-email--customer-registration--html,BE
cms-block-email--customer-registration--text,BE
cms-block-email--customer-registration_token--html,BE
cms-block-email--customer-registration_token--text,BE
cms-block-email--customer-restore-password--html,BE
cms-block-email--customer-restore-password--text,BE
cms-block-email--customer-restored-password-confirmation--html,BE
cms-block-email--customer-restored-password-confirmation--text,BE
cms-block-email--restore-password--html,BE
cms-block-email--restore-password--text,BE
cms-block-email--availability-notification-subscription--html,BE
cms-block-email--availability-notification-subscription--text,BE
cms-block-email--availability-notification-unsubscribed--html,BE
cms-block-email--availability-notification-unsubscribed--text,BE
cms-block-email--availability-notification--html,BE
cms-block-email--availability-notification--text,BE
cms-block-email--gift-card-delivery--html,BE
cms-block-email--gift-card-delivery--text,BE
cms-block-email--gift-card-usage--html,BE
cms-block-email--gift-card-usage--text,BE
cms-block-email--newsletter-subscribed--html,BE
cms-block-email--newsletter-subscribed--text,BE
cms-block-email--newsletter-unsubscribed--html,BE
cms-block-email--newsletter-unsubscribed--text,BE
cms-block-email--order-confirmation--html,BE
cms-block-email--order-in-processing--text,BE
cms-block-email--order-in-processing--html,BE
cms-block-email--order-confirmation--text,BE
cms-block-email--order-shipped--html,BE
cms-block-email--order-shipped--text,BE
cms-block-email--shipping-confirmation--html,BE
